"Id","Rarity","Expend","Tag","InitScript","DrawScript","UseScript","DropScript","Icon","Effects","Action","PackBelong"
"唯一标识","稀有度","花费","标签","更新显示信息用的","卡牌抽到后执行","卡牌使用后执行","卡牌进入弃牌堆后执行","图标资源的路径","特效路径","动作","所属卡包"
"spark","1","0","","self.Vars:set_Item(""BaseScript"", ""AttackCardItem"");","","self:SetStatus(""Target""); self:Damage(""3""); self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_solar_radiance"", ""1"");","","Mods/SunExp/ModResource/Images/Card/SunExp/spark","","","SunExp_sunexp_cardpack_sunexp"
"scorching_canopy","1","1","","self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");","","self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_solar_field"", ""1""); self:SetStatus(""All""); self:AddBuff(""buff_burn"", ""1""); local ward = self.Self:GetBuff(""SunExp_sunexp_burn_ward""); local crown = self.Self:GetBuff(""SunExp_sunexp_solar_crown_state""); local rad = self.Self:GetBuff(""SunExp_sunexp_solar_radiance""); local crownImmune = false; if crown ~= nil and rad ~= nil and rad.buffConfig.Level >= 12 then crownImmune = true; end if ward ~= nil or crownImmune then self.Self:RemoveBuff(""buff_burn""); end","","Mods/SunExp/ModResource/Images/Card/SunExp/scorching_canopy","","","SunExp_sunexp_cardpack_sunexp"
"flare_cut","1","1","","self.Vars:set_Item(""BaseScript"", ""AttackCardItem"");","","local rad = self.Self:GetBuff(""SunExp_sunexp_solar_radiance""); local level = 0; if rad ~= nil then level = rad.buffConfig.Level; end; local dmg = 7 + math.floor(level / 4) * 2; local crown = self.Self:GetBuff(""SunExp_sunexp_solar_crown_state""); if crown ~= nil and level >= 4 then dmg = dmg + level; end; self:SetStatus(""Target""); self:Damage(tostring(dmg));","","Mods/SunExp/ModResource/Images/Card/SunExp/flare_cut","","","SunExp_sunexp_cardpack_sunexp"
"burn_ward_card","1","1","","self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");","","self:SetStatus(""Self""); self.Self:RemoveBuff(""buff_burn""); self:AddBuff(""SunExp_sunexp_burn_ward"", ""1"");","","Mods/SunExp/ModResource/Images/Card/SunExp/burn_ward_card","","","SunExp_sunexp_cardpack_sunexp"
"draw_flame","1","1","","self.Vars:set_Item(""BaseScript"", ""AttackCardItem"");","","self:SetStatus(""Target""); local target = nil; if self.Object ~= nil and self.Object.Count > 0 then target = self.Object:get_Item(0); end; local gain = 0; if target ~= nil then local burn = target:GetBuff(""buff_burn""); if burn ~= nil then gain = math.min(3, burn.buffConfig.Level); burn.buffConfig.Level = burn.buffConfig.Level - gain; if burn.buffConfig.Level <= 0 then target:RemoveBuff(""buff_burn""); end end end; local crown = self.Self:GetBuff(""SunExp_sunexp_solar_crown_state""); local rad = self.Self:GetBuff(""SunExp_sunexp_solar_radiance""); local level = 0; if rad ~= nil then level = rad.buffConfig.Level; end; if crown ~= nil and level >= 12 then gain = gain + 2; elseif crown ~= nil and level >= 1 and level <= 3 then gain = gain + 1; end; self:SetStatus(""Self""); if gain > 0 then self:AddBuff(""SunExp_sunexp_gathered_flame"", tostring(gain)); end","","Mods/SunExp/ModResource/Images/Card/SunExp/draw_flame","","","SunExp_sunexp_cardpack_sunexp"
"solar_focus","2","0","","self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");","","self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_solar_radiance"", ""2""); local field = self.Self:GetBuff(""SunExp_sunexp_solar_field""); if field ~= nil then self:DrawCount(""1""); end","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_focus","","","SunExp_sunexp_cardpack_sunexp"
"solar_spark","2","1","","self.Vars:set_Item(""BaseScript"", ""AttackCardItem"");","","local flame = self.Self:GetBuff(""SunExp_sunexp_gathered_flame""); local useFlame = 0; if flame ~= nil then useFlame = math.min(5, flame.buffConfig.Level); end; local rad = self.Self:GetBuff(""SunExp_sunexp_solar_radiance""); local radLevel = 0; if rad ~= nil then radLevel = rad.buffConfig.Level; end; local dmg = 6 + useFlame * 2; local crown = self.Self:GetBuff(""SunExp_sunexp_solar_crown_state""); if crown ~= nil and radLevel >= 4 then dmg = dmg + radLevel; end; self:SetStatus(""Target""); self:Damage(tostring(dmg)); if rad ~= nil and radLevel > 0 then self:AddBuff(""buff_burn"", ""2""); rad.buffConfig.Level = radLevel - 1; if rad.buffConfig.Level <= 0 then self:SetStatus(""Self""); self:RemoveBuff(""SunExp_sunexp_solar_radiance""); end end; if flame ~= nil and useFlame > 0 then flame.buffConfig.Level = flame.buffConfig.Level - useFlame; if flame.buffConfig.Level <= 0 then self:SetStatus(""Self""); self:RemoveBuff(""SunExp_sunexp_gathered_flame""); end end","","Mods/SunExp/ModResource/Images/Card/SunExp/solar_spark","","","SunExp_sunexp_cardpack_sunexp"
"crown_pressure","2","1","","self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");","","local count = 2; local rad = self.Self:GetBuff(""SunExp_sunexp_solar_radiance""); if rad ~= nil and rad.buffConfig.Level >= 8 then count = 3; end; self:SetStatus(""AllTarget""); self:AddBuff(""buff_burn"", tostring(count));","","Mods/SunExp/ModResource/Images/Card/SunExp/crown_pressure","","","SunExp_sunexp_cardpack_sunexp"
"field_ignition","2","2","","self.Vars:set_Item(""BaseScript"", ""CommonCardItem"");","","self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_solar_field"", ""2""); self:SetStatus(""All""); self:AddBuff(""buff_burn"", ""2""); local ward = self.Self:GetBuff(""SunExp_sunexp_burn_ward""); local crown = self.Self:GetBuff(""SunExp_sunexp_solar_crown_state""); local rad = self.Self:GetBuff(""SunExp_sunexp_solar_radiance""); local crownImmune = false; if crown ~= nil and rad ~= nil and rad.buffConfig.Level >= 12 then crownImmune = true; end if ward ~= nil or crownImmune then self.Self:RemoveBuff(""buff_burn""); end","","Mods/SunExp/ModResource/Images/Card/SunExp/field_ignition","","","SunExp_sunexp_cardpack_sunexp"
