"Id","Rarity","Expend","Tag","InitScript","DrawScript","UseScript","DropScript","Icon","Effects","Action","PackBelong"
"唯一标识","稀有度","花费","标签","更新显示信息用的","卡牌抽到后执行","卡牌使用后执行","卡牌进入弃牌堆后执行","图标资源的路径","特效路径","动作","所属卡包"
"sha","1","1","Combo,连携","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""sha"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""sha"");","","Mods/SanGuoShaExp/ModResource/Images/杀","","Attack","SanGuoShaExp_sanguosha_cardpack_basic"
"shan","1","0","Combo,连携","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""shan"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""shan"");","","Mods/SanGuoShaExp/ModResource/Images/闪","","","SanGuoShaExp_sanguosha_cardpack_basic"
"tao","1","1","Combo","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""tao"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""tao"");","","Mods/SanGuoShaExp/ModResource/Images/桃","","","SanGuoShaExp_sanguosha_cardpack_basic"
"jiu","2","0","Combo,Retain,连携","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""jiu"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""jiu"");","","Mods/SanGuoShaExp/ModResource/Images/酒","","","SanGuoShaExp_sanguosha_cardpack_basic"
"juedou","2","2","Combo,连携","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""juedou"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""juedou"");","","Mods/SanGuoShaExp/ModResource/Images/决斗","","Attack","SanGuoShaExp_sanguosha_cardpack_basic"
"wuzhong_shengyou","2","0","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""wuzhong_shengyou"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""wuzhong_shengyou"");","","Mods/SanGuoShaExp/ModResource/Images/无中生有","","","SanGuoShaExp_sanguosha_cardpack_basic"
"guohe_chaiqiao","2","1","Combo,Burnout,连携","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""guohe_chaiqiao"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""guohe_chaiqiao"");","","Mods/SanGuoShaExp/ModResource/Images/过河拆桥","","Attack","SanGuoShaExp_sanguosha_cardpack_basic"
"shunshou_qianyang","2","1","Combo,Burnout,顺手","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""shunshou_qianyang"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""shunshou_qianyang"");","","Mods/SanGuoShaExp/ModResource/Images/顺手牵羊","","Attack","SanGuoShaExp_sanguosha_cardpack_basic"
"nanman_ruqin","2","2","军策","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""nanman_ruqin"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""nanman_ruqin"");","","Mods/SanGuoShaExp/ModResource/Images/南蛮入侵","","Skill","SanGuoShaExp_sanguosha_cardpack_basic"
"wanjian_qifa","2","2","军策","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Init(self, ""wanjian_qifa"");","","CS.SanGuoShaExp.Dll.Scripting.SanGuoShaCardScripts.Use(self, ""wanjian_qifa"");","","Mods/SanGuoShaExp/ModResource/Images/万箭齐发","","Skill","SanGuoShaExp_sanguosha_cardpack_basic"
