"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"唯一标识","FALSE","类型","备注","名称","Name","名稱","名称","描述","描述","Description","説明"
"sha","TRUE","基本牌","","杀","Sha","殺","殺","对单体造成14点伤害。【连击】额外+8。【裂变】伤害+3。","對單體造成14點傷害。【連擊】額外+8。【裂變】傷害+3。","Deal 14 damage. Combo: +8. Fission: damage +3.","単体に14ダメージ。コンボ:+8。裂変:ダメージ+3。"
"shan","TRUE","基本牌","","闪","Shan","閃","閃","获得14点护甲和1层{buff_resilient}。【受伤】抽1。【保留】【裂变】护甲+2。","獲得14點護甲和1層{buff_resilient}。【受傷】抽1。【保留】【裂變】護甲+2。","Gain 14 Shield and 1 {buff_resilient}. If wounded, draw 1. Retain. Fission: Shield +2.","14シールドと{buff_resilient}1。負傷中なら1枚引く。保留。裂変:シールド+2。"
"tao","TRUE","基本牌","","桃","Peach","桃","桃","回复16点生命。【半血】额外+8。【裂变】回复+3。","回復16點生命。【半血】額外+8。【裂變】回復+3。","Restore 16 HP. Below half: +8. Fission: healing +3.","HPを16回復。半分未満:+8。裂変:回復+3。"
"jiu","TRUE","基本牌","","酒","Wine","酒","酒","获得2层酒意。下一张杀系牌每层伤害+14。【焚毁】【保留】","獲得2層酒意。下一張殺系牌每層傷害+14。【焚毀】【保留】","Gain 2 Wine. Next Sha-type card gains +14 damage per stack. Burnout. Retain.","酒意2。次の殺系カードは1層ごとにダメージ+14。焼却。保留。"
"juedou","TRUE","锦囊牌","","决斗","Duel","決鬥","決闘","对单体造成32点伤害。【连击】改为48。若目标未死，自损6。","對單體造成32點傷害。【連擊】改為48。若目標未死，自損6。","Deal 32 damage. Combo: 48 instead. If target survives, lose 6 HP.","単体に32ダメージ。コンボ:48。対象が生存なら自身HP-6。"
"wuzhong_shengyou","TRUE","锦囊牌","","无中生有","Something from Nothing","無中生有","無中生有","抽3张牌，获得1点魔能。【焚毁】","抽3張牌，獲得1點魔能。【焚毀】","Draw 3 and gain 1 Mana. Burnout.","3枚引き、魔力+1。焼却。"
"guohe_chaiqiao","TRUE","锦囊牌","","过河拆桥","Dismantle","過河拆橋","過河拆橋","移除目标全部护甲和2个正面状态，造成12点伤害。【焚毁】","移除目標全部護甲和2個正面狀態，造成12點傷害。【焚毀】","Remove all Shield and 2 positive statuses, then deal 12 damage. Burnout.","全シールドと正面状態2個を除去し、12ダメージ。焼却。"
"shunshou_qianyang","TRUE","锦囊牌","","顺手牵羊","Snatch","順手牽羊","順手牽羊","造成12点伤害，抽2张牌，施加4层{buff_weakness}。【焚毁】","造成12點傷害，抽2張牌，施加4層{buff_weakness}。【焚毀】","Deal 12, draw 2, apply 4 {buff_weakness}. Burnout.","12ダメージ、2枚引き、{buff_weakness}4。焼却。"
"nanman_ruqin","TRUE","锦囊牌","","南蛮入侵","Barbarian Invasion","南蠻入侵","南蛮入侵","敌方全体22点伤害。【连击】改为30，并追加8点真实伤害。","敵方全體22點傷害。【連擊】改為30，並追加8點真實傷害。","All enemies take 22 damage. Combo: 30 plus 8 True damage.","敵全体に22ダメージ。コンボ:30+8貫通。"
