"Id","Rarity","Expend","Tag","InitScript","DrawScript","UseScript","DropScript","Icon","Effects","Action","PackBelong"
"唯一标识","稀有度","花费","标签","更新显示信息用的","卡牌抽到后执行","卡牌使用后执行","卡牌进入弃牌堆后执行","图标资源的路径","特效路径","动作","所属卡包"
"*star_morning_guidance","3","0","","CS.StarExp.Dll.Scripting.StarMiracleScripts.Init(self, ""*star_morning_guidance"");","","CS.StarExp.Dll.Scripting.StarMiracleScripts.Use(self, ""*star_morning_guidance"");","","Icon/Role/技能素材/技能图标&小对话框/元素","","Skill",""
"*star_borrowed_miracle","3","0","","CS.StarExp.Dll.Scripting.StarMiracleScripts.Init(self, ""*star_borrowed_miracle"");","","CS.StarExp.Dll.Scripting.StarMiracleScripts.Use(self, ""*star_borrowed_miracle"");","","Icon/Role/技能素材/技能图标&小对话框/勾画世界","","Skill",""
"white_stone","2","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""white_stone"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""white_stone"");","","Icon/UI_Icons/Native/战备/战备3.0/战备3.0/卡包封面/时间","","",""
"morning_star_blade","1","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""morning_star_blade"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""morning_star_blade"");","","Icon/Role/技能素材/技能图标&小对话框/元素","","Attack","StarExp_star_miracle_cardpack_star_miracle"
"stargaze","1","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""stargaze"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""stargaze"");","","Icon/Role/技能素材/技能图标&小对话框/勾画世界","","","StarExp_star_miracle_cardpack_star_miracle"
"morning_star_guidance","1","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""morning_star_guidance"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""morning_star_guidance"");","","Icon/UI_Icons/Native/战备/战备3.0/战备3.0/卡包封面/时间","","","StarExp_star_miracle_cardpack_star_miracle"
"clock_hand","1","0","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""clock_hand"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""clock_hand"");","","Icon/UI_Icons/Native/战备/战备3.0/战备3.0/卡包封面/时间","","","StarExp_star_miracle_cardpack_star_miracle"
"ninth_attempt","1","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""ninth_attempt"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""ninth_attempt"");","","Icon/Role/技能素材/技能图标&小对话框/元素","","","StarExp_star_miracle_cardpack_star_miracle"
"restless_practice","1","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""restless_practice"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""restless_practice"");","","Icon/Role/技能素材/技能图标&小对话框/元素","","Attack","StarExp_star_miracle_cardpack_star_miracle"
"borrowed_miracle","2","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""borrowed_miracle"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""borrowed_miracle"");","","Icon/Role/技能素材/技能图标&小对话框/勾画世界","","","StarExp_star_miracle_cardpack_star_miracle"
"repayment_night","2","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""repayment_night"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""repayment_night"");","","Icon/UI_Icons/Native/战备/战备3.0/战备3.0/卡包封面/时间","","","StarExp_star_miracle_cardpack_star_miracle"
"star_thread_pull","1","1","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""star_thread_pull"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""star_thread_pull"");","","Icon/Role/技能素材/技能图标&小对话框/勾画世界","","","StarExp_star_miracle_cardpack_star_miracle"
"starlight_fragment","1","0","","CS.StarExp.Dll.Scripting.CardScripts.Init(self, ""starlight_fragment"");","","CS.StarExp.Dll.Scripting.CardScripts.Use(self, ""starlight_fragment"");","","Icon/UI_Icons/Native/战备/战备3.0/战备3.0/卡包封面/时间","","","StarExp_star_miracle_cardpack_star_miracle"
