"Id","InitScript","ApplyScript","ClearScript","ReducePerTurn","ReducePerAttacked","ReducePerUse","UpperBound","Icon","Type","Rarity","Effects","SoundEffects","Action","CanZero"
"唯一标识","更新显示信息用的","BUFF生效时的效果","清除时效果","层数每回合减少数","层数每受击减少数","层数每行动减少数","层数上限","图标路径","类型","稀有度","特效","","",""
"solar_radiance","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""solar_radiance"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""solar_radiance"");","0","0","0","15","Mods/SunExp/ModResource/Images/Buff/SunExp/solar_radiance","能力","2","","","","FALSE"
"solar_coefficient","","","","0","0","0","1","Mods/SunExp/ModResource/Images/Buff/SunExp/solar_radiance","能力","2","","","","FALSE"
"gathered_flame","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""gathered_flame"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""gathered_flame"");","0","0","0","999","Mods/SunExp/ModResource/Images/Buff/SunExp/gathered_flame","能力","2","","","","FALSE"
"scorching_canopy","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""scorching_canopy"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""scorching_canopy"");","0","0","0","9","Mods/SunExp/ModResource/Images/Buff/SunExp/scorching_canopy","能力","2","","","","FALSE"
"body_burn","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""body_burn"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""body_burn"");","0","0","0","999","Mods/SunExp/ModResource/Images/Buff/SunExp/body_burn","负面","2","","","","FALSE"
"ember","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""ember"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""ember"");","0","0","0","99","Mods/SunExp/ModResource/Images/Buff/SunExp/wuna_ember","能力","3","","","","FALSE"
"ember_cloak","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""ember_cloak"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""ember_cloak"");","1","0","0","1","Mods/SunExp/ModResource/Images/Buff/SunExp/ember_cloak","能力","2","","","","FALSE"
"solar_crown","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""solar_crown"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""solar_crown"");","1","0","0","2","Mods/SunExp/ModResource/Images/Buff/SunExp/solar_crown","能力","3","","","","FALSE"
"solar_crown_tier","","","","0","0","0","5","Mods/SunExp/ModResource/Images/Buff/SunExp/solar_crown","能力","3","","","","FALSE"
"origin_core_radiance","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""origin_core_radiance"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""origin_core_radiance"");","0","0","0","1","Mods/SunExp/ModResource/Images/Buff/SunExp/origin_core_radiance","能力","2","","","","FALSE"
"cycle_gathered_flame","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""cycle_gathered_flame"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""cycle_gathered_flame"");","0","0","0","1","Mods/SunExp/ModResource/Images/Buff/SunExp/cycle_gathered_flame","能力","2","","","","FALSE"
"afterglow_omen","","CS.SunExp.Dll.Scripting.BuffScripts.Apply(self, ""afterglow_omen"");","CS.SunExp.Dll.Scripting.BuffScripts.Clear(self, ""afterglow_omen"");","0","0","0","1","Mods/SunExp/ModResource/Images/Buff/SunExp/afterglow_omen","能力","2","","","","FALSE"
