Id,1Script,2Script,3Script,4Script,InitScript,IsHighRisk,EntryScript
唯一标识,选项1脚本,选项2脚本,选项3脚本;,选项4脚本,更新显示信息用的,是否是高危事件,退出脚本，为后置事件准备的
Sub_wuna_event_01,"CS.SunExp.Dll.Scripting.EventScripts.RewardRelic(1, ""SunExp_sunexp_morning_shard"");","CS.SunExp.Dll.Scripting.EventScripts.RewardBless(1, ""blessing_8"");",,,"CS.SunExp.Dll.Scripting.EventScripts.Init(self, ""Sub_wuna_event_01"");",FALSE,
Sub_wuna_event_02,"CS.SunExp.Dll.Scripting.EventScripts.RewardRelic(2, ""SunExp_sunexp_sun_orbit_mirror"");","CS.SunExp.Dll.Scripting.EventScripts.RewardBless(2, ""blessing_8"");",,,"CS.SunExp.Dll.Scripting.EventScripts.Init(self, ""Sub_wuna_event_02"");",FALSE,
Sub_wuna_event_03,"CS.SunExp.Dll.Scripting.EventScripts.RewardRelic(3, ""SunExp_sunexp_solar_prism"");","CS.SunExp.Dll.Scripting.EventScripts.RewardBless(3, ""blessing_20"");",,,"CS.SunExp.Dll.Scripting.EventScripts.Init(self, ""Sub_wuna_event_03"");",FALSE,
Sub_wuna_event_04,"CS.SunExp.Dll.Scripting.EventScripts.RewardRelic(4, ""SunExp_sunexp_gathered_flame_charm"");","CS.SunExp.Dll.Scripting.EventScripts.RewardRelic(4, ""SunExp_sunexp_ember_cloak_lining"");",,,"CS.SunExp.Dll.Scripting.EventScripts.Init(self, ""Sub_wuna_event_04"");",FALSE,
Sub_wuna_event_05,"CS.SunExp.Dll.Scripting.EventScripts.RewardCard(5, ""SunExp_sunexp_blazing_crown_collapse"");","CS.SunExp.Dll.Scripting.EventScripts.RewardRelic(5, ""SunExp_sunexp_coronation_throne"");",,,"CS.SunExp.Dll.Scripting.EventScripts.Init(self, ""Sub_wuna_event_05"");",FALSE,
Sub_wuna_event_06,"CS.SunExp.Dll.Scripting.EventScripts.RewardRelic(6, ""SunExp_sunexp_blazing_crown_heart"");","CS.SunExp.Dll.Scripting.EventScripts.RewardCard(6, ""SunExp_sunexp_spark"");",,,"CS.SunExp.Dll.Scripting.EventScripts.Init(self, ""Sub_wuna_event_06"");",FALSE,
Sub_wuna_event_repeat,CS.SunExp.Dll.Scripting.EventScripts.RepeatReward();,,,,"CS.SunExp.Dll.Scripting.EventScripts.Init(self, ""Sub_wuna_event_repeat"");",FALSE,
Sub_solar_memory_start,,,CS.SunExp.Dll.Scripting.EventScripts.OpenSolarMemoryPreparation();,CS.SunExp.Dll.Scripting.EventScripts.StartSolarMemoryBossRush();,CS.SunExp.Dll.Scripting.EventScripts.InitSolarMemoryStart(self);,FALSE,
Sub_solar_memory_black_sun_after,CS.SunExp.Dll.Scripting.EventScripts.ContinueSolarMemory();,CS.SunExp.Dll.Scripting.EventScripts.OpenSolarMemoryDeck();,,,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarMemoryNode(self);",FALSE,
Sub_solar_memory_second_sun,CS.SunExp.Dll.Scripting.EventScripts.ContinueSolarMemory();,CS.SunExp.Dll.Scripting.EventScripts.OpenSolarMemoryDeck();,,,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarMemoryNode(self);",FALSE,
Sub_solar_memory_saint_daily,CS.SunExp.Dll.Scripting.EventScripts.ContinueSolarMemory();,CS.SunExp.Dll.Scripting.EventScripts.OpenSolarMemoryDeck();,,,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarMemoryNode(self);",FALSE,
Sub_solar_memory_polluted_light,CS.SunExp.Dll.Scripting.EventScripts.ContinueSolarMemory();,CS.SunExp.Dll.Scripting.EventScripts.OpenSolarMemoryDeck();,,,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarMemoryNode(self);",FALSE,
Sub_solar_memory_grief_struggle,CS.SunExp.Dll.Scripting.EventScripts.ContinueSolarMemory();,CS.SunExp.Dll.Scripting.EventScripts.OpenSolarMemoryDeck();,,,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarMemoryNode(self);",FALSE,
Sub_solar_memory_above_sacred_wheel,CS.SunExp.Dll.Scripting.EventScripts.ContinueSolarMemory();,CS.SunExp.Dll.Scripting.EventScripts.OpenSolarMemoryDeck();,,,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarMemoryNode(self);",FALSE,
Sub_solar_finale_ledger,CS.SunExp.Dll.Scripting.EventScripts.PreserveSolarFinaleLedger();,CS.SunExp.Dll.Scripting.EventScripts.BurnSolarFinaleName();,CS.SunExp.Dll.Scripting.EventScripts.NamelessSolarFinaleName();,,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarFinaleLedger(self);",FALSE,
Sub_solar_finale_second_sun,"CS.SunExp.Dll.Scripting.EventScripts.ResolveSolarFinaleSecondSun(""extinguish"");","CS.SunExp.Dll.Scripting.EventScripts.ResolveSolarFinaleSecondSun(""burn_name"");","CS.SunExp.Dll.Scripting.EventScripts.ResolveSolarFinaleSecondSun(""overload"");",,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarFinaleSecondSun(self);",FALSE,
Sub_solar_finale_saint,"CS.SunExp.Dll.Scripting.EventScripts.ResolveSolarFinaleSaint(""star_echo"");","CS.SunExp.Dll.Scripting.EventScripts.ResolveSolarFinaleSaint(""purification"");","CS.SunExp.Dll.Scripting.EventScripts.ResolveSolarFinaleSaint(""burn_names"");",,"CS.SunExp.Dll.Scripting.EventScripts.InitSolarFinaleSaint(self);",FALSE,
