Id,Type,NodeId,Level,Rarity
唯一标识,种类,对应种类的节点Id,对应出现层数,随机池隐藏标记
solar_event,Event,Breaks_solar_event,-1,7
solar_memory_start,Event,Breaks_solar_memory_start,-1,7
solar_memory_black_sun_after,Event,Breaks_solar_memory_black_sun_after,-1,7
solar_memory_second_sun,Event,Breaks_solar_memory_second_sun,-1,7
solar_memory_saint_daily,Event,Breaks_solar_memory_saint_daily,-1,7
solar_memory_polluted_light,Event,Breaks_solar_memory_polluted_light,-1,7
solar_memory_grief_struggle,Event,Breaks_solar_memory_grief_struggle,-1,7
solar_memory_above_sacred_wheel,Event,Breaks_solar_memory_above_sacred_wheel,-1,7
solar_memory_boss_orbit_mirror_array,Fight,SunExp_sunexp_level_orbit_mirror_array,99,7
solar_memory_boss_second_sun_last_day,Fight,SunExp_sunexp_level_second_sun_last_day,99,7
solar_memory_boss_saint_wuna,Fight,SunExp_sunexp_level_saint_wuna,99,7
