"Id","Rarity","OwnScript","FightScript","Icon","PackBelong"
"唯一标识","稀有度","获得物品时执行的","战斗脚本","图片路径","cardpack id"
"morning_shard","1","","self:AddEvent(""FightStart"", function() self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_solar_radiance"", ""2""); if self.Vars ~= nil then self.Vars:set_Item(""SunExpMorningShield"", ""0""); end end); self:AddEvent(""StartRound"", function() local done = false; if self.Vars ~= nil and self.Vars:ContainsKey(""SunExpMorningShield"") and self.Vars:get_Item(""SunExpMorningShield"") == ""1"" then done = true; end; if done then return end; local rad = self.Self:GetBuff(""SunExp_sunexp_solar_radiance""); if rad ~= nil then self:SetStatus(""Self""); self:ChangeDefence(tostring(5 + rad.buffConfig.Level)); if self.Vars ~= nil then self.Vars:set_Item(""SunExpMorningShield"", ""1""); end; self:UpdateRelicShow(); end end);","Mods/SunExp/ModResource/Images/Relic/SunExp/morning_shard","SunExp_sunexp_cardpack_radiant_spark"
"ember_cloak_lining","1","","self:AddEvent(""StartRound"", function() local burn = self.Self:GetBuff(""buff_burn""); if burn == nil or burn.buffConfig.Level <= 0 then return end; burn.buffConfig.Level = burn.buffConfig.Level - 1; if burn.buffConfig.Level <= 0 then self:SetStatus(""Self""); self:RemoveBuff(""buff_burn""); end; self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_gathered_flame"", ""2""); end);","Mods/SunExp/ModResource/Images/Relic/SunExp/ember_cloak_lining","SunExp_sunexp_cardpack_ember_crown"
"sun_orbit_mirror","2","","self:AddEvent(""FightStart"", function() SunExp_SetVar(self, ""ThisCount"", ""0""); self:UpdateRelicShow(); end); self:AddEvent(""Action"", function() local count = tonumber(SunExp_GetVar(self, ""ThisCount"", ""0"")) or 0; count = count + 1; SunExp_SetVar(self, ""ThisCount"", count); self:UpdateRelicShow(); if count % 3 ~= 0 then return end; if self.Self:GetBuff(""SunExp_sunexp_solar_radiance"") ~= nil then SunExp_AddBurnToRandomEnemy(self, ""2""); else self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_solar_radiance"", ""2""); end end);","Mods/SunExp/ModResource/Images/Relic/SunExp/sun_orbit_mirror","SunExp_sunexp_cardpack_radiant_spark"
"sun_bottle","2","","self:AddEvent(""StartRound"", function() local target = SunExp_GetRandomEnemyTarget(self, true); if target ~= nil then SunExp_TriggerBurn(self, target); SunExp_RemoveBuffStacks(self, target, ""buff_burn"", ""1""); self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_gathered_flame"", ""2""); else SunExp_AddBurnToRandomEnemy(self, ""2""); end; self:UpdateRelicShow(); end);","Mods/SunExp/ModResource/Images/Relic/SunExp/sun_bottle","SunExp_sunexp_cardpack_solar_canopy"
"solar_phase_dial","3","","local function resetPhase() SunExp_SetVar(self, ""SunExpZ4"", ""0""); SunExp_SetVar(self, ""SunExpZ8"", ""0""); SunExp_SetVar(self, ""SunExpZ12"", ""0""); self:UpdateRelicShow(); end; local function checkPhase() local level = SunExp_GetRadianceLevel(self); if level <= 0 then return end; self:SetStatus(""Self""); if level >= 4 and SunExp_GetVar(self, ""SunExpZ4"", ""0"") == ""0"" then self:DrawCount(""1""); SunExp_SetVar(self, ""SunExpZ4"", ""1""); self:UpdateRelicShow(); end; if level >= 8 and SunExp_GetVar(self, ""SunExpZ8"", ""0"") == ""0"" then self:ChangePower(""1""); SunExp_SetVar(self, ""SunExpZ8"", ""1""); self:UpdateRelicShow(); end; if level >= 12 and SunExp_GetVar(self, ""SunExpZ12"", ""0"") == ""0"" then self:SetStatus(""Self""); self:RemoveBuff(""buff_burn""); SunExp_TriggerBurnAllEnemies(self, 1); SunExp_SetVar(self, ""SunExpZ12"", ""1""); self:UpdateRelicShow(); end end; self:AddEvent(""FightStart"", function() resetPhase(); end); self:AddEvent(""Action"", function() checkPhase(); end); self:AddEvent(""StartRound"", function() checkPhase(); end);","Mods/SunExp/ModResource/Images/Relic/SunExp/solar_phase_dial","SunExp_sunexp_cardpack_radiant_spark"
"miniature_sunwheel","3","","self:AddEvent(""StartRound"", function() local field = self.Self:GetBuff(""SunExp_sunexp_scorching_canopy""); if field == nil or field.buffConfig.Level <= 0 then return end; self:SetStatus(""Self""); self:ChangeDefence(tostring(field.buffConfig.Level * 3)); local burn = self.Self:GetBuff(""buff_burn""); if burn ~= nil and burn.buffConfig.Level > 0 then burn.buffConfig.Level = burn.buffConfig.Level - 1; if burn.buffConfig.Level <= 0 then self:RemoveBuff(""buff_burn""); end; self:AddBuff(""SunExp_sunexp_gathered_flame"", ""1""); else self:AddBuff(""SunExp_sunexp_solar_radiance"", ""1""); end end);","Mods/SunExp/ModResource/Images/Relic/SunExp/miniature_sunwheel","SunExp_sunexp_cardpack_ember_crown"
"blazing_crown_heart","4","","self:AddEvent(""FightStart"", function() self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_solar_crown"", ""1""); self:AddBuff(""SunExp_sunexp_solar_radiance"", ""4""); self:AddBuff(""SunExp_sunexp_scorching_canopy"", ""2""); end); self:AddEvent(""StartRound"", function() if SunExp_IsSelfBurnProtected(self, true) then local targets = SunExp_GetEnemyTargets(self); for i = 1, #targets do SunExp_AddStatusBuff(self, targets[i], ""buff_burn"", ""1""); end end end);","Mods/SunExp/ModResource/Images/Relic/SunExp/blazing_crown_heart","SunExp_sunexp_cardpack_solar_canopy"
"solar_prism","1","","local function resetPrism() SunExp_SetVar(self, ""SunExpPrismDone"", ""0""); SunExp_SetVar(self, ""SunExpPrismLastRadiance"", SunExp_GetRadianceLevel(self)); self:UpdateRelicShow(); end; local function checkPrism() local current = SunExp_GetRadianceLevel(self); local last = tonumber(SunExp_GetVar(self, ""SunExpPrismLastRadiance"", tostring(current))) or current; if SunExp_GetVar(self, ""SunExpPrismDone"", ""0"") == ""0"" and current > last then self:SetStatus(""Self""); self:AddBuff(""buff_extraordinary"", ""1""); SunExp_SetVar(self, ""SunExpPrismDone"", ""1""); self:UpdateRelicShow(); current = SunExp_GetRadianceLevel(self); end; SunExp_SetVar(self, ""SunExpPrismLastRadiance"", current); end; self:AddEvent(""FightStart"", function() self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_solar_radiance"", ""1""); resetPrism(); end); self:AddEvent(""StartRound"", function() resetPrism(); end); self:AddEvent(""Action"", function() checkPrism(); end);","Mods/SunExp/ModResource/Images/Relic/SunExp/solar_prism","SunExp_sunexp_cardpack_radiant_spark"
"coronation_throne","2","","local function checkCradle() if SunExp_GetVar(self, ""SunExpCradleDone"", ""0"") == ""1"" then return end; if self.Self:GetBuff(""SunExp_sunexp_solar_crown"") == nil then return end; self:SetStatus(""Self""); self:DrawCount(""1""); self:ChangeDefence(""2""); SunExp_SetVar(self, ""SunExpCradleDone"", ""1""); self:UpdateRelicShow(); end; self:AddEvent(""FightStart"", function() SunExp_SetVar(self, ""SunExpCradleDone"", ""0""); self:UpdateRelicShow(); end); self:AddEvent(""Action"", function() checkCradle(); end); self:AddEvent(""StartRound"", function() checkCradle(); end);","Mods/SunExp/ModResource/Images/Relic/SunExp/coronation_throne","SunExp_sunexp_cardpack_radiant_spark"
"gathered_flame_charm","1","","local function resetCharm() SunExp_SetVar(self, ""SunExpMoltenCharmDone"", ""0""); SunExp_SetVar(self, ""SunExpMoltenCharmLastBurn"", SunExp_GetBuffLevel(self, ""buff_burn"")); self:UpdateRelicShow(); end; local function checkCharm() local current = SunExp_GetBuffLevel(self, ""buff_burn""); local last = tonumber(SunExp_GetVar(self, ""SunExpMoltenCharmLastBurn"", tostring(current))) or current; if SunExp_GetVar(self, ""SunExpMoltenCharmDone"", ""0"") == ""0"" and current > last then self:SetStatus(""Self""); self:AddBuff(""SunExp_sunexp_gathered_flame"", ""2""); SunExp_SetVar(self, ""SunExpMoltenCharmDone"", ""1""); self:UpdateRelicShow(); end; SunExp_SetVar(self, ""SunExpMoltenCharmLastBurn"", current); end; self:AddEvent(""FightStart"", function() resetCharm(); end); self:AddEvent(""StartRound"", function() resetCharm(); end); self:AddEvent(""Action"", function() checkCharm(); end);","Mods/SunExp/ModResource/Images/Relic/SunExp/gathered_flame_charm","SunExp_sunexp_cardpack_ember_crown"
"ash_charm","2","","self:AddEvent(""StartRound"", function() local burn = self.Self:GetBuff(""buff_burn""); if burn == nil or burn.buffConfig.Level < 4 then return end; burn.buffConfig.Level = burn.buffConfig.Level - 2; if burn.buffConfig.Level <= 0 then self:SetStatus(""Self""); self:RemoveBuff(""buff_burn""); end; self:SetStatus(""Self""); self:ChangeDefence(""2""); self:AddBuff(""SunExp_sunexp_gathered_flame"", ""2""); self:UpdateRelicShow(); end);","Mods/SunExp/ModResource/Images/Relic/SunExp/ash_charm","SunExp_sunexp_cardpack_ember_crown"
"blazing_sundial","1","","self:AddEvent(""StartRound"", function() local targets = SunExp_GetEnemyTargets(self); if #targets == 0 then return end; for i = 1, #targets do if SunExp_GetStatusBuffLevel(targets[i], ""buff_burn"") <= 0 then return end end; for i = 1, #targets do SunExp_AddStatusBuff(self, targets[i], ""buff_weak"", ""1""); end; self:UpdateRelicShow(); end);","Mods/SunExp/ModResource/Images/Relic/SunExp/blazing_sundial","SunExp_sunexp_cardpack_solar_canopy"
