"Id","Note","Name","Name_zh-Hant","Name_en","Name_ja","Description","Description_zh-Hant","Description_ja","Description_en"
"唯一标识","备注","名称","名稱","Name","名称","描述","描述","説明","Description"
"solar_radiance","","日耀","日耀","Solar Radiance","日耀","每次行动时，获得等同于5倍日耀层数的超凡。","每次行動時，獲得等同於5倍日耀層數的超凡。","行動するたび、日耀スタックの5倍の超凡を得る。","Whenever you act, gain Extraordinary equal to 5 times Solar Radiance stacks."
"solar_coefficient","","日耀系数","日耀係數","Solar Coefficient","日耀係数","等于自身{SunExp_sunexp_solar_radiance}层数*2+{SunExp_sunexp_gathered_flame}层数/3+{buff_burn}层数/2。","等於自身{SunExp_sunexp_solar_radiance}層數*2+{SunExp_sunexp_gathered_flame}層數/3+{buff_burn}層數/2。","自身の{SunExp_sunexp_solar_radiance}スタック*2+{SunExp_sunexp_gathered_flame}スタック/3+{buff_burn}スタック/2に等しい。","Equals your {SunExp_sunexp_solar_radiance} stacks *2 + {SunExp_sunexp_gathered_flame} stacks /3 + {buff_burn} stacks /2."
"gathered_flame","","聚炎","聚炎","Gathered Flame","聚炎","回合开始时，自己获得等同于聚炎层数的灼烧和10倍层数的超凡。","回合開始時，自己獲得等同於聚炎層數的灼燒和10倍層數的超凡。","ターン開始時、自身に聚炎スタック分の燃焼と、その10倍の超凡を得る。","At round start, gain Burn equal to Gathered Flame stacks and Extraordinary equal to 10 times those stacks."
"ember","","余烬","餘燼","Ember","余燼","每层使自身造成的伤害提高1%。灼烧结算前，消耗等量余烬抵消同等层数的灼烧。","每層使自身造成的傷害提高1%。灼燒結算前，消耗等量餘燼抵消同等層數的灼燒。","1スタックごとに自身の与ダメージが1%上昇する。燃焼の解決前、同量の余燼を消費して同数の燃焼スタックを打ち消す。","Each stack increases damage dealt by 1%. Before Burn resolves, spend the same amount of Ember to cancel that many Burn stacks."
"scorching_canopy","","灼热天幕","灼熱天幕","Scorching Canopy","灼熱天幕","场地。每轮回合开始时，全体获得等同于灼热天幕层数的灼烧；场上存在天幕时，任何目标被施加的灼烧超过上限部分会转化为等量焚身。","場地。每輪回合開始時，全體獲得等同於灼熱天幕層數的灼燒；場上存在天幕時，任何目標被施加的灼燒超過上限部分會轉化為等量焚身。","場地。各ターン開始時、全員が灼熱天幕スタック分の燃焼を得る。天幕がある間、付与される燃焼が上限を超えた分は同量の焚身に変わる。","Field. At the start of each round, all combatants gain Burn equal to Scorching Canopy stacks. While the Canopy is present, Burn applied beyond the cap becomes that much Body Burn."
"body_burn","","焚身","焚身","Body Burn","焚身","回合开始时，每层受到最大生命值1%+1点真实伤害，随后移除此状态。","回合開始時，每層受到最大生命值1%+1點真實傷害，隨後移除此狀態。","ターン開始時、1スタックごとに最大HPの1%+1の固定ダメージを受け、その後この状態を取り除く。","At round start, take true damage equal to 1% of Max HP + 1 per stack, then remove this status."
"ember_cloak","","烬衣","燼衣","Ember Cloak","燼衣","获得时清除自身灼烧，下回合开始时再次清除自身灼烧，然后移除此状态。","獲得時清除自身灼燒，下回合開始時再次清除自身灼燒，然後移除此狀態。","獲得時に自身の燃焼を消す。次のターン開始時にもう一度自身の燃焼を消し、その後この状態を取り除く。","When gained, clear your Burn. At the start of the next round, clear your Burn again, then remove this status."
"solar_crown","","圣冕显化","聖冕顯化","Crown Manifestation","聖冕顕化","持续期间，{SunExp_sunexp_solar_coefficient}变为原来的2倍。授冕时，根据自身当前的{SunExp_sunexp_solar_radiance}层数确立{SunExp_sunexp_solar_crown_tier}。触发时根据等阶获得最多5个效果：1阶清除自身所有负面 Buff 并转换为等量{buff_burn}；2阶抽1张牌；3阶获得1点魔能；4阶清除自身{buff_burn}并获得等量{SunExp_sunexp_gathered_flame}；5阶全体敌人获得5层{buff_burn}并立即生效一次。结束时消耗2倍等阶层数的{SunExp_sunexp_solar_radiance}。","持續期間，{SunExp_sunexp_solar_coefficient}變為原來的2倍。授冕時，根據自身當前的{SunExp_sunexp_solar_radiance}層數確立{SunExp_sunexp_solar_crown_tier}。觸發時根據等階獲得最多5個效果：1階清除自身所有負面 Buff 並轉換為等量{buff_burn}；2階抽1張牌；3階獲得1點魔能；4階清除自身{buff_burn}並獲得等量{SunExp_sunexp_gathered_flame}；5階全體敵人獲得5層{buff_burn}並立即生效一次。結束時消耗2倍等階層數的{SunExp_sunexp_solar_radiance}。","持続中、{SunExp_sunexp_solar_coefficient}が元の2倍になる。授冠時、現在の{SunExp_sunexp_solar_radiance}スタックに応じて{SunExp_sunexp_solar_crown_tier}を確定する。発動時、等級に応じて最大5つの効果を得る：1階は自身のデバフをすべて消し、同量の{buff_burn}に変換；2階はカードを1枚引く；3階は魔能を1得る；4階は自身の{buff_burn}を消し、同量の{SunExp_sunexp_gathered_flame}を得る；5階は敵全体に{buff_burn}を5付与し、即座に1回発動する。終了時、等級の2倍の{SunExp_sunexp_solar_radiance}を消費する。","While active, {SunExp_sunexp_solar_coefficient} becomes twice its normal value. On coronation, set {SunExp_sunexp_solar_crown_tier} from your current {SunExp_sunexp_solar_radiance}. When triggered, gain up to 5 effects by tier: tier 1 clears all negative buffs and converts them into equal {buff_burn}; tier 2 draws 1 card; tier 3 gains 1 Mana; tier 4 clears your {buff_burn} and gains equal {SunExp_sunexp_gathered_flame}; tier 5 gives all enemies 5 {buff_burn} and triggers it once immediately. When this ends, consume {SunExp_sunexp_solar_radiance} equal to twice its tier."
"solar_crown_tier","","圣冕等阶","聖冕等階","Crown Tier","聖冕等級","当{SunExp_sunexp_solar_crown}时，根据当前{SunExp_sunexp_solar_radiance}层数确立授冕等阶：1/4/8/12/15。","當{SunExp_sunexp_solar_crown}時，根據當前{SunExp_sunexp_solar_radiance}層數確立授冕等階：1/4/8/12/15。","{SunExp_sunexp_solar_crown}時、現在の{SunExp_sunexp_solar_radiance}スタックに応じて授冠等級を確定する：1/4/8/12/15。","When {SunExp_sunexp_solar_crown} is active, set the coronation tier from current {SunExp_sunexp_solar_radiance}: 1/4/8/12/15."
"origin_core_radiance","","源核：日耀","源核：日耀","Origin Core: Radiance","源核：日耀","每回合第一次获得{SunExp_sunexp_solar_radiance}时，额外获得1层{SunExp_sunexp_solar_radiance}。","每回合第一次獲得{SunExp_sunexp_solar_radiance}時，額外獲得1層{SunExp_sunexp_solar_radiance}。","各ターンで初めて{SunExp_sunexp_solar_radiance}を得た時、追加で1スタック得る。","The first time each round you gain {SunExp_sunexp_solar_radiance}, gain 1 extra stack of it."
"cycle_gathered_flame","","轮转：聚炎","輪轉：聚炎","Cycle: Gathered Flame","循環：聚炎","自身灼烧每增加1层，获得1层聚炎。","自身灼燒每增加1層，獲得1層聚炎。","自身の燃焼が1スタック増えるたび、聚炎を1スタック得る。","Whenever your Burn increases by 1 stack, gain 1 stack of Gathered Flame."
