"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"唯一标识","FALSE","类型","备注","名称","Name","名稱","名称","描述","描述","Description","説明"
"spark","TRUE","攻击牌","","星火","Spark","星火","星火","造成{0}点伤害，给予目标1层{buff_burn}。获得1层{SunExp_sunexp_solar_radiance}。","造成{0}點傷害，給予目標1層{buff_burn}。獲得1層{SunExp_sunexp_solar_radiance}。","Deal {0} damage, apply 1 stack of {buff_burn}, and gain 1 stack of {SunExp_sunexp_solar_radiance}.","{0}ダメージを与え、対象に{buff_burn}を1スタック付与する。{SunExp_sunexp_solar_radiance}を1スタック得る。"
"scorching_canopy","TRUE","技能牌","","灼热天幕","Scorching Canopy","灼热天幕","灼热天幕","获得1层{SunExp_sunexp_solar_field}。全体获得2层{buff_burn}。","獲得1層{SunExp_sunexp_solar_field}。全體獲得2層{buff_burn}。","Gain 1 stack of {SunExp_sunexp_solar_field}. All combatants gain 2 stacks of {buff_burn}.","{SunExp_sunexp_solar_field}を1スタック得る。全員が{buff_burn}を2スタック得る。"
"flare_cut","TRUE","攻击牌","","耀焰斩","Flare Cut","耀焰斩","耀焰斩","造成{0}点伤害（基础10，每有1层{SunExp_sunexp_solar_radiance}额外+1；圣冕显化且日耀不少于4层时再额外+日耀层数）。","造成{0}點傷害（基礎10，每有1層{SunExp_sunexp_solar_radiance}額外+1；聖冕顯化且日耀不少於4層時再額外+日耀層數）。","Deal {0} damage (base 10, +1 per Radiance; during Crown at 4+ Radiance, add Radiance again).","{0}ダメージを与える（基礎10、{SunExp_sunexp_solar_radiance}1スタックごとに+1。聖冠中かつ日耀4以上なら日耀分をさらに追加）。"
"burn_ward_card","TRUE","技能牌","","避灼光幕","Burn Ward","避灼光幕","避灼光幕","获得{SunExp_sunexp_burn_ward}：清除自身{buff_burn}，获得等同于清除层数一半的护盾，并在下回合开始时再次清除自身{buff_burn}。","獲得{SunExp_sunexp_burn_ward}：清除自身{buff_burn}，獲得等同於清除層數一半的護盾，並在下回合開始時再次清除自身{buff_burn}。","Gain {SunExp_sunexp_burn_ward}: clear your {buff_burn}, gain Block equal to half the cleared stacks, and clear your {buff_burn} again at the start of next round.","{SunExp_sunexp_burn_ward}を得る。自身の{buff_burn}を消し、消したスタックの半分に等しい護盾を得る。次ターン開始時にも自身の{buff_burn}を消す。"
"draw_flame","TRUE","技能牌","","引炎","Draw Flame","引炎","引炎","吸收目标至多6层{buff_burn}，移除等量{buff_burn}，获得等量{SunExp_sunexp_gathered_flame}。圣冕显化期间，日耀阶段会向下包括并额外获得聚炎。","吸收目標至多6層{buff_burn}，移除等量{buff_burn}，獲得等量{SunExp_sunexp_gathered_flame}。聖冕顯化期間，日耀階段會向下包括並額外獲得聚炎。","Absorb up to 6 stacks of {buff_burn} from the target, removing them and gaining that much {SunExp_sunexp_gathered_flame}. Crown phases are inclusive and grant extra flame.","対象から最大6スタックの{buff_burn}を吸収して取り除き、同量の{SunExp_sunexp_gathered_flame}を得る。聖冠顕現中、日耀段階は下位効果を含み追加の聚炎を得る。"
"solar_focus","TRUE","技能牌","","日耀聚焦","Solar Focus","日耀聚焦","日耀聚焦","获得2层{SunExp_sunexp_solar_radiance}。若已有{SunExp_sunexp_solar_field}，抽1张牌；若已有{SunExp_sunexp_solar_crown_state}，获得1+当前日耀层数的{SunExp_sunexp_gathered_flame}。","獲得2層{SunExp_sunexp_solar_radiance}。若已有{SunExp_sunexp_solar_field}，抽1張牌；若已有{SunExp_sunexp_solar_crown_state}，獲得1+當前日耀層數的{SunExp_sunexp_gathered_flame}。","Gain 2 stacks of {SunExp_sunexp_solar_radiance}. If you have {SunExp_sunexp_solar_field}, draw 1 card. If you have {SunExp_sunexp_solar_crown_state}, gain {SunExp_sunexp_gathered_flame} equal to 1 plus your current Radiance stacks.","{SunExp_sunexp_solar_radiance}を2スタック得る。{SunExp_sunexp_solar_field}を持つなら1枚引く。{SunExp_sunexp_solar_crown_state}を持つなら、現在の日耀スタック+1の{SunExp_sunexp_gathered_flame}を得る。"
"solar_spark","TRUE","攻击牌","","日耀星火","Solar Spark","日耀星火","日耀星火","造成{0}点伤害。消耗至多5层{SunExp_sunexp_gathered_flame}，每层额外造成4点伤害。给予目标2+日耀层数/3层{buff_burn}。圣冕显化且日耀不少于4层时，额外增加2倍日耀层数的伤害。","造成{0}點傷害。消耗至多5層{SunExp_sunexp_gathered_flame}，每層額外造成4點傷害。給予目標2+日耀層數/3層{buff_burn}。聖冕顯化且日耀不少於4層時，額外增加2倍日耀層數的傷害。","Deal {0} damage. Consume up to 5 stacks of {SunExp_sunexp_gathered_flame} for +4 damage each. Apply {buff_burn} equal to 2 plus Radiance/3. During Crown at 4+ Radiance, add damage equal to twice your Radiance.","{0}ダメージを与える。最大5スタックの{SunExp_sunexp_gathered_flame}を消費し、1スタックごとに+4ダメージ。対象に2+日耀/3スタックの{buff_burn}を付与する。聖冠中かつ日耀4以上なら日耀の2倍の追加ダメージ。"
"crown_pressure","TRUE","技能牌","","冠冕压光","Crown Pressure","冠冕压光","冠冕压光","敌方全体获得5层{buff_burn}。若你拥有{SunExp_sunexp_solar_field}，敌方全体的{buff_burn}立刻生效一次。圣冕显化且日耀不少于4层时，对敌方全体造成{0}点伤害。","敵方全體獲得5層{buff_burn}。若你擁有{SunExp_sunexp_solar_field}，敵方全體的{buff_burn}立刻生效一次。聖冕顯化且日耀不少於4層時，對敵方全體造成{0}點傷害。","All enemies gain 5 stacks of {buff_burn}. If you have {SunExp_sunexp_solar_field}, trigger all enemies' {buff_burn} once immediately. During Crown at 4+ Radiance, deal {0} damage to all enemies.","敵全体に{buff_burn}を5スタック付与する。{SunExp_sunexp_solar_field}を持つなら、敵全体の{buff_burn}をただちに1回発動する。聖冠中かつ日耀4以上なら、敵全体に{0}ダメージを与える。"
"field_ignition","TRUE","技能牌","","场域点燃","Field Ignition","场域点燃","场域点燃","获得2层{SunExp_sunexp_solar_field}。全体获得3层{buff_burn}。若{SunExp_sunexp_solar_radiance}不少于4层，敌方全体的{buff_burn}立刻生效一次。","獲得2層{SunExp_sunexp_solar_field}。全體獲得3層{buff_burn}。若{SunExp_sunexp_solar_radiance}不少於4層，敵方全體的{buff_burn}立刻生效一次。","Gain 2 stacks of {SunExp_sunexp_solar_field}. All combatants gain 3 stacks of {buff_burn}. If you have at least 4 stacks of {SunExp_sunexp_solar_radiance}, trigger all enemies' {buff_burn} once immediately.","{SunExp_sunexp_solar_field}を2スタック得る。全員が{buff_burn}を3スタック得る。{SunExp_sunexp_solar_radiance}が4以上なら、すべての敵の{buff_burn}をただちに1回発動する。"
"solar_phase_tuning","TRUE","技能牌","","日相校准","Solar Phase Tuning","日相校准","日相校准","获得3层{SunExp_sunexp_solar_radiance}。吸收自身至多6层{buff_burn}，转化为等量{SunExp_sunexp_gathered_flame}。若吸收满6层，抽1+日耀层数/3张牌。","獲得3層{SunExp_sunexp_solar_radiance}。吸收自身至多6層{buff_burn}，轉化為等量{SunExp_sunexp_gathered_flame}。若吸收滿6層，抽1+日耀層數/3張牌。","Gain 3 stacks of {SunExp_sunexp_solar_radiance}. Absorb up to 6 stacks of your own {buff_burn} and convert them into {SunExp_sunexp_gathered_flame}. If you absorb 6, draw 1 plus Radiance/3 cards.","{SunExp_sunexp_solar_radiance}を3スタック得る。自身の{buff_burn}を最大6スタック吸収し、同量の{SunExp_sunexp_gathered_flame}に変換する。6吸収したなら1+日耀/3枚引く。"
"solar_crown","TRUE","能力牌","","太阳圣冕","Solar Crown","太阳圣冕","太阳圣冕","获得2层{SunExp_sunexp_solar_crown_state}和2层{SunExp_sunexp_solar_radiance}。圣冕阶段向下包括：高层会同时触发低层效果。","獲得2層{SunExp_sunexp_solar_crown_state}和2層{SunExp_sunexp_solar_radiance}。聖冕階段向下包括：高層會同時觸發低層效果。","Gain 2 stacks of {SunExp_sunexp_solar_crown_state} and 2 stacks of {SunExp_sunexp_solar_radiance}. Crown phases are inclusive: higher phases also trigger lower-phase benefits.","{SunExp_sunexp_solar_crown_state}を2スタック、{SunExp_sunexp_solar_radiance}を2スタック得る。聖冠段階は下位効果を含み、高段階は低段階効果も同時に発動する。"
