"Id","InitScript","ApplyScript","ClearScript","ReducePerTurn","ReducePerAttacked","ReducePerUse","UpperBound","Icon","Type","Rarity","Effects","SoundEffects","Action","CanZero"
"唯一标识","更新显示信息用的","BUFF生效时的效果","清除时效果","层数每回合减少数","层数每受击减少数","层数每行动减少数","层数上限","图标路径","类型","稀有度","特效","","",""
"solar_radiance","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""solar_radiance"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""solar_radiance"");","0","0","0","12","Mods/Terrias/ModResource/Images/Buff/Terrias/solar_radiance","正面","2","","","","FALSE"
"solar_coefficient","","","","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/solar_radiance","能力","2","","","","FALSE"
"element_pyro","","","","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/元素-火","契印","2","","","","FALSE"
"element_electro","","","","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/元素-雷","契印","2","","","","FALSE"
"element_cryo","","","","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/元素-冰","契印","2","","","","FALSE"
"element_hydro","","","","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/元素-水","契印","2","","","","FALSE"
"element_dendro","","","","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/元素-草","契印","2","","","","FALSE"
"dendro_core","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""dendro_core"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""dendro_core"");","0","0","0","5","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/草原核","负面","2","","","","FALSE"
"frozen","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""frozen"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""frozen"");","1","0","0","1","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/冻结","负面","4","","","","FALSE"
"gathered_flame","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""gathered_flame"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""gathered_flame"");","0","0","0","999","Mods/Terrias/ModResource/Images/Buff/Terrias/gathered_flame","正面","2","","","","FALSE"
"scorching_canopy","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""scorching_canopy"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""scorching_canopy"");","0","0","0","9","","场地","2","","","","FALSE"
"samsara_garden","","","","0","0","0","5","","场地","2","","","","FALSE"
"body_burn","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""body_burn"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""body_burn"");","0","0","0","999","Mods/Terrias/ModResource/Images/Buff/Terrias/body_burn","负面","2","","","","FALSE"
"ember","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""ember"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""ember"");","0","0","0","99","Mods/Terrias/ModResource/Images/Buff/Terrias/wuna_ember","能力","3","","","","FALSE"
"ember_cloak","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""ember_cloak"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""ember_cloak"");","1","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/ember_cloak","能力","2","","","","FALSE"
"solar_crown","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""solar_crown"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""solar_crown"");","1","0","0","2","Mods/Terrias/ModResource/Images/Buff/Terrias/solar_crown","能力","3","","","","FALSE"
"solar_crown_tier","","","","0","0","0","5","Mods/Terrias/ModResource/Images/Buff/Terrias/solar_crown_tier","能力","3","","","","FALSE"
"origin_core_radiance","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""origin_core_radiance"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""origin_core_radiance"");","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/origin_core_radiance","能力","2","","","","FALSE"
"cycle_gathered_flame","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""cycle_gathered_flame"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""cycle_gathered_flame"");","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/cycle_gathered_flame","能力","2","","","","FALSE"
"afterglow_omen","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""afterglow_omen"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""afterglow_omen"");","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/afterglow_omen","能力","2","","","","FALSE"
"polymorph_trait","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""polymorph_trait"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""polymorph_trait"");","1","0","0","1","Icon/Buff/魔女加护","特性","3","","","","FALSE"
"heart_change_control","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""heart_change_control"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""heart_change_control"");","0","0","0","1","Icon/Buff/欲念","特性","3","","","","FALSE"
"dusk_afterheat_recovery_trait","","CS.Terrias.Dll.Scripting.DuskPartnerScripts.ApplyTrait(self);","CS.Terrias.Dll.Scripting.DuskPartnerScripts.ClearTrait(self);","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/huanghun_1","特性","2","","","","FALSE"
"boss_trait_mirror_array","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""boss_trait_mirror_array"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""boss_trait_mirror_array"");","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/scorching_canopy","特性","3","","","","FALSE"
"boss_trait_merciless_daylight","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""boss_trait_merciless_daylight"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""boss_trait_merciless_daylight"");","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/solar_crown","特性","3","","","","FALSE"
"boss_trait_white_radiance_saint","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""boss_trait_white_radiance_saint"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""boss_trait_white_radiance_saint"");","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Terrias/wuna_ember","特性","3","","","","FALSE"
"boss_white_radiance_crown","","","","0","0","0","5","Mods/Terrias/ModResource/Images/Buff/Terrias/solar_crown","能力","3","","","","FALSE"
"star_stone_pouch","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""star_stone_pouch"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""star_stone_pouch"");","0","0","0","9","Mods/Terrias/ModResource/Images/Buff/Terrias/star_stone_pouch","特性","2","","","","TRUE"
"miracle_clock","","","","0","0","0","12","Mods/Terrias/ModResource/Images/Buff/Terrias/miracle_clock","特性","2","","","","TRUE"
"starlight","","","","0","0","0","30","Mods/Terrias/ModResource/Images/Buff/Terrias/starlight","能力","2","","","","FALSE"
"star_blessing","","","","0","0","0","9","Mods/Terrias/ModResource/Images/Buff/Terrias/star_blessing","能力","3","","","","FALSE"
"star_score","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""star_score"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""star_score"");","0","0","0","3","Mods/Terrias/ModResource/Images/Buff/Terrias/star_score","能力","2","","","","FALSE"
"resonance","","","","0","0","0","9","Mods/Terrias/ModResource/Images/Buff/Terrias/resonance","能力","2","","","","FALSE"
"star_stage","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""star_stage"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""star_stage"");","0","0","0","9","Mods/Terrias/ModResource/Images/Buff/Terrias/star_stage","能力","3","","","","FALSE"
"star_clay_body","","","","0","0","0","9","Mods/Terrias/ModResource/Images/Buff/Loneer/renkui_1","能力","3","","","","FALSE"
"sandrone_cat_trait","","","","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/哥！伦！比！娅！","特性","2","","","","FALSE"
"star_clay_doll_trait","","CS.Terrias.Dll.Scripting.StarClayDollScripts.ApplyTrait(self);","CS.Terrias.Dll.Scripting.StarClayDollScripts.ClearTrait(self);","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Loneer/renkui_1","特性","2","","","","FALSE"
"abyss_gaze_i","","","","20","0","0","20","Icon/Buff/易怒","负面","3","","","","FALSE"
"abyss_gaze_ii","","","","20","0","0","20","Icon/Buff/易怒","负面","3","","","","FALSE"
"abyss_gaze_iii","","","","20","0","0","20","Icon/Buff/易怒","负面","3","","","","FALSE"
"abyss_blessing","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""abyss_blessing"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""abyss_blessing"");","0","0","0","999","Icon/Buff/易怒","特性","4","","","","FALSE"
"moonlight","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""moonlight"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""moonlight"");","0","0","0","5","Mods/Terrias/ModResource/Images/Buff/Terrias/moonlight","正面","3","","","","FALSE"
"gravity_ripple","","","","0","0","0","20","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/引力涟漪","能力","3","","","","FALSE"
"gravity_value","","","","0","0","0","100","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/引力值","能力","3","","","","FALSE"
"moon_domain","","","","0","0","0","1","Mods/Terrias/ModResource/Images/Buff/Area/月之领域","场地","4","","","","FALSE"
"constellation","","","","0","0","0","6","Mods/Terrias/ModResource/Images/Buff/GenshinImpact/命之座","特性","4","","","","FALSE"
"*relic_star_stone_pouch","","CS.Terrias.Dll.Scripting.BuffScripts.Apply(self, ""relic_star_stone_pouch"");","CS.Terrias.Dll.Scripting.BuffScripts.Clear(self, ""relic_star_stone_pouch"");","0","0","0","9","Mods/Terrias/ModResource/Images/Buff/Terrias/star_stone_pouch","特性","2","","","","TRUE"
"false_gold","","","","0","0","0","2147483647","Icon/Buff/金矿","能力","2","","","","FALSE"
"debt_due_1","","","","0","0","0","2147483647","Icon/Buff/莉莉丝契约","能力","2","","","","FALSE"
"debt_due_2","","","","0","0","0","2147483647","Icon/Buff/莉莉丝契约","能力","2","","","","FALSE"
"debt_due_3","","","","0","0","0","2147483647","Icon/Buff/莉莉丝契约","能力","2","","","","FALSE"
"golden_potential_zero","","","","0","0","0","1","Icon/Buff/空想","能力","1","","","","FALSE"
"golden_potential_k","","","","0","0","0","1","Icon/Buff/白银委托","能力","2","","","","FALSE"
"golden_potential_m","","","","0","0","0","1","Icon/Buff/翠玉委托","能力","3","","","","FALSE"
"golden_potential_b","","","","0","0","0","1","Icon/Buff/金矿","能力","4","","","","FALSE"
