Id,InitScript,TargetScript,UseScript,BackIcon,Icon,Tag,Effects,Action
Id,卡牌初始化脚本（使用前执行）,卡牌出现时执行（设定目标）,卡牌使用后执行,行动底面,行动图标,唯一特性,特效,动作
enemycard_mirror_calibration,"CS.Terrias.Dll.Scripting.BossScripts.InitCard(self, ""mirror_calibration"");","CS.Terrias.Dll.Scripting.BossScripts.Target(self, ""All"");","CS.Terrias.Dll.Scripting.BossScripts.UseCard(self, ""mirror_calibration"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_orbit_refraction,"CS.Terrias.Dll.Scripting.BossScripts.InitCard(self, ""orbit_refraction"");","CS.Terrias.Dll.Scripting.BossScripts.Target(self, ""Target"");","CS.Terrias.Dll.Scripting.BossScripts.UseCard(self, ""orbit_refraction"");",Icon/ActionIcon/攻击底,Icon/ActionIcon/攻击,,折射,Attack
enemycard_last_day_morning_prayer,"CS.Terrias.Dll.Scripting.BossScripts.InitCard(self, ""last_day_morning_prayer"");","CS.Terrias.Dll.Scripting.BossScripts.Target(self, ""All"");","CS.Terrias.Dll.Scripting.BossScripts.UseCard(self, ""last_day_morning_prayer"");",Icon/ActionIcon/核心底,Icon/ActionIcon/给予异常,,,
enemycard_last_day_noon_burn,"CS.Terrias.Dll.Scripting.BossScripts.InitCard(self, ""last_day_noon_burn"");","CS.Terrias.Dll.Scripting.BossScripts.Target(self, ""Target"");","CS.Terrias.Dll.Scripting.BossScripts.UseCard(self, ""last_day_noon_burn"");",Icon/ActionIcon/攻击底,Icon/ActionIcon/攻击,,断脊,Attack
enemycard_saint_purification,"CS.Terrias.Dll.Scripting.BossScripts.InitCard(self, ""saint_purification"");","CS.Terrias.Dll.Scripting.BossScripts.Target(self, ""Target"");","CS.Terrias.Dll.Scripting.BossScripts.UseCard(self, ""saint_purification"");",Icon/ActionIcon/核心底,Icon/ActionIcon/给予异常,,,
enemycard_saint_return_to_court,"CS.Terrias.Dll.Scripting.BossScripts.InitCard(self, ""saint_return_to_court"");","CS.Terrias.Dll.Scripting.BossScripts.Target(self, ""Target"");","CS.Terrias.Dll.Scripting.BossScripts.UseCard(self, ""saint_return_to_court"");",Icon/ActionIcon/攻击底,Icon/ActionIcon/攻击,,断脊,Attack
enemycard_saint_white_edict,"CS.Terrias.Dll.Scripting.BossScripts.InitCard(self, ""saint_white_edict"");","CS.Terrias.Dll.Scripting.BossScripts.Target(self, ""Target"");","CS.Terrias.Dll.Scripting.BossScripts.UseCard(self, ""saint_white_edict"");",Icon/ActionIcon/核心底,Icon/ActionIcon/给予异常,,,
enemycard_projection_staff_tap,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""staff_tap"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""staff_tap"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""staff_tap"");",Icon/ActionIcon/攻击底,Icon/ActionIcon/攻击,,敲击,Attack
enemycard_projection_shield_blessing,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""shield_blessing"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""shield_blessing"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""shield_blessing"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_projection_wait,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""system.wait"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""system.wait"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""system.wait"");",Icon/ActionIcon/强化底,Icon/ActionIcon/防御,,,
enemycard_spirit_intent_adapter,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/防御,,,
enemycard_spirit_common_probing_strike,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/攻击底,Icon/ActionIcon/攻击,,,Attack
enemycard_spirit_common_temporary_ward,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/防御,,,
enemycard_spirit_common_emergency_heal,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/治疗,,,
enemycard_spirit_common_focused_chant,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_spirit_common_weakening_mark,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_spirit_common_breaking_strike,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/攻击底,Icon/ActionIcon/攻击,,,Attack
enemycard_spirit_common_guardian_ward,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/防御,,,
enemycard_spirit_common_life_stream,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/治疗,,,
enemycard_spirit_common_magic_reflow,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_spirit_common_armor_break_mark,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_spirit_common_swift_pierce,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/攻击底,Icon/ActionIcon/攻击,,,Attack
enemycard_spirit_common_astral_veil,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/防御,,,
enemycard_spirit_common_life_echo,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/治疗,,,
enemycard_spirit_common_overflow_conversion,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_spirit_common_lockdown_seal,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""spirit-adapted"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""spirit-adapted"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_projection_staff_combo,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""staff_combo"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""staff_combo"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""staff_combo"");",Icon/ActionIcon/攻击底,Icon/ActionIcon/攻击,,敲击,Attack
enemycard_projection_magic_interference,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""magic_interference"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""magic_interference"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""magic_interference"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_projection_you_are_enhanced,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""you_are_enhanced"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""you_are_enhanced"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""you_are_enhanced"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
enemycard_projection_charge,"CS.Terrias.Dll.Scripting.ProjectionScripts.InitAction(self, ""charge"");","CS.Terrias.Dll.Scripting.ProjectionScripts.Target(self, ""charge"");","CS.Terrias.Dll.Scripting.ProjectionScripts.UseAction(self, ""charge"");",Icon/ActionIcon/强化底,Icon/ActionIcon/给予异常,,,
