"Id","Rarity","OwnScript","FightScript","Icon","PackBelong"
"唯一标识","稀有度","获得物品时执行的","战斗脚本","图片路径","cardpack id"
"morning_shard","1","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""morning_shard"");","Mods/Terrias/ModResource/Images/Relic/Terrias/morning_shard","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"*ember_cloak_lining","1","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""ember_cloak_lining"");","Mods/Terrias/ModResource/Images/Relic/Terrias/ember_cloak_lining","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"sun_orbit_mirror","2","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""sun_orbit_mirror"");","Mods/Terrias/ModResource/Images/Relic/Terrias/sun_orbit_mirror","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"sun_bottle","2","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""sun_bottle"");","Mods/Terrias/ModResource/Images/Relic/Terrias/sun_bottle","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_phase_dial","3","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""solar_phase_dial"");","Mods/Terrias/ModResource/Images/Relic/Terrias/solar_phase_dial","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"miniature_sunwheel","3","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""miniature_sunwheel"");","Mods/Terrias/ModResource/Images/Relic/Terrias/miniature_sunwheel","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"blazing_crown_heart","4","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""blazing_crown_heart"");","Mods/Terrias/ModResource/Images/Relic/Terrias/blazing_crown_heart","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"solar_prism","1","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""solar_prism"");","Mods/Terrias/ModResource/Images/Relic/Terrias/solar_prism","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"coronation_throne","2","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""coronation_throne"");","Mods/Terrias/ModResource/Images/Relic/Terrias/coronation_throne","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"gathered_flame_charm","3","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""gathered_flame_charm"");","Mods/Terrias/ModResource/Images/Relic/Terrias/gathered_flame_charm","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"ash_charm","3","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""ash_charm"");","Mods/Terrias/ModResource/Images/Relic/Terrias/ash_charm","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"blazing_sundial","1","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""blazing_sundial"");","Mods/Terrias/ModResource/Images/Relic/Terrias/blazing_sundial","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"burning_calamity_wind_belt","2","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""burning_calamity_wind_belt"");","Mods/Terrias/ModResource/Images/Relic/Terrias/burning_calamity_wind_belt","Terrias_terrias_cardpack_solar_ember_crown_canopy"
"timeless_clock","4","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""timeless_clock"");","Mods/Terrias/ModResource/Images/Relic/Terrias/无刻时钟","Terrias_terrias_cardpack_morning_star_overture"
"loneer_star_stone_pouch","2","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""loneer_star_stone_pouch"");","Mods/Terrias/ModResource/Images/Relic/Terrias/洛奈尔的星石袋","Terrias_terrias_cardpack_morning_star_overture"
"fox_woman_harp","3","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""fox_woman_harp"");","Mods/Terrias/ModResource/Images/Relic/Terrias/狐女的竖琴","Terrias_terrias_cardpack_morning_star_overture"
"dim_star_stone","1","","CS.Terrias.Dll.Scripting.RelicScripts.Fight(self, ""dim_star_stone"");","Mods/Terrias/ModResource/Images/Relic/Terrias/黯淡星石","Terrias_terrias_cardpack_morning_star_overture"
