"Id","是否完成","Type","Note","Name","Name_en","Name_zh-Hant","Name_ja","Description","Description_zh-Hant","Description_en","Description_ja"
"唯一标识","FALSE","类型","备注","名称","Name","名稱","名称","描述","描述","Description","説明"
"spark","TRUE","攻击牌","","星火","Spark","星火","星火","造成3点伤害。获得1层日耀。","造成3点伤害。获得1层日耀。","Deal 3 damage. Gain 1 Solar Radiance.","造成3点伤害。获得1层日耀。"
"scorching_canopy","TRUE","技能牌","","灼热天幕","Scorching Canopy","灼热天幕","灼热天幕","获得1层日耀场。全体获得1层灼烧。","获得1层日耀场。全体获得1层灼烧。","Gain 1 Solar Field. All combatants gain 1 Burn.","获得1层日耀场。全体获得1层灼烧。"
"flare_cut","TRUE","攻击牌","","耀焰斩","Flare Cut","耀焰斩","耀焰斩","造成7点伤害。每有4层日耀，额外造成2点伤害。圣冕显化且日耀不少于4层时，再额外增加等同日耀层数的伤害。","造成7点伤害。每有4层日耀，额外造成2点伤害。圣冕显化且日耀不少于4层时，再额外增加等同日耀层数的伤害。","Deal 7 damage. For every 4 Solar Radiance, deal 2 extra damage. During Crown Manifestation at 4+ Radiance, add Radiance as extra damage.","造成7点伤害。每有4层日耀，额外造成2点伤害。圣冕显化且日耀不少于4层时，再额外增加等同日耀层数的伤害。"
"burn_ward_card","TRUE","技能牌","","避灼光幕","Burn Ward","避灼光幕","避灼光幕","获得避灼光幕：清除自身灼烧，并在下回合开始时再次清除自身灼烧。","获得避灼光幕：清除自身灼烧，并在下回合开始时再次清除自身灼烧。","Gain Burn Ward: clear your Burn now and again at the start of next round.","获得避灼光幕：清除自身灼烧，并在下回合开始时再次清除自身灼烧。"
"draw_flame","TRUE","技能牌","","引炎","Draw Flame","引炎","引炎","吸收目标至多3层灼烧，移除等量灼烧，获得等量聚炎。圣冕显化期间根据日耀阶段额外获得聚炎。","吸收目标至多3层灼烧，移除等量灼烧，获得等量聚炎。圣冕显化期间根据日耀阶段额外获得聚炎。","Absorb up to 3 Burn from the target, removing that much Burn and gaining that much Gathered Flame. Crown phases add extra flame.","吸收目标至多3层灼烧，移除等量灼烧，获得等量聚炎。圣冕显化期间根据日耀阶段额外获得聚炎。"
"solar_focus","TRUE","技能牌","","日耀聚焦","Solar Focus","日耀聚焦","日耀聚焦","获得2层日耀。若已有日耀场，抽1张牌。","获得2层日耀。若已有日耀场，抽1张牌。","Gain 2 Solar Radiance. If you have Solar Field, draw 1 card.","获得2层日耀。若已有日耀场，抽1张牌。"
"solar_spark","TRUE","攻击牌","","日耀星火","Solar Spark","日耀星火","日耀星火","造成6点伤害。消耗至多5层聚炎，每层额外造成2点伤害。若有日耀，消耗1层日耀并给予目标2层灼烧。圣冕显化且日耀不少于4层时，额外增加等同日耀层数的伤害。","造成6点伤害。消耗至多5层聚炎，每层额外造成2点伤害。若有日耀，消耗1层日耀并给予目标2层灼烧。圣冕显化且日耀不少于4层时，额外增加等同日耀层数的伤害。","Deal 6 damage. Consume up to 5 Gathered Flame for +2 damage each. If you have Solar Radiance, consume 1 and apply 2 Burn. During Crown at 4+ Radiance, add Radiance as damage.","造成6点伤害。消耗至多5层聚炎，每层额外造成2点伤害。若有日耀，消耗1层日耀并给予目标2层灼烧。圣冕显化且日耀不少于4层时，额外增加等同日耀层数的伤害。"
"crown_pressure","TRUE","技能牌","","冠冕压光","Crown Pressure","冠冕压光","冠冕压光","敌方全体获得2层灼烧。若日耀不少于8层，改为3层。","敌方全体获得2层灼烧。若日耀不少于8层，改为3层。","All enemies gain 2 Burn. If you have 8+ Solar Radiance, they gain 3 Burn instead.","敌方全体获得2层灼烧。若日耀不少于8层，改为3层。"
"field_ignition","TRUE","技能牌","","场域点燃","Field Ignition","场域点燃","场域点燃","获得2层日耀场。立即让全体获得2层灼烧。","获得2层日耀场。立即让全体获得2层灼烧。","Gain 2 Solar Field. Immediately apply 2 Burn to all combatants.","获得2层日耀场。立即让全体获得2层灼烧。"
"solar_phase_tuning","TRUE","技能牌","","日相校准","Solar Phase Tuning","日相校准","日相校准","获得3层日耀。吸收自身至多2层灼烧，转化为等量聚炎。","获得3层日耀。吸收自身至多2层灼烧，转化为等量聚炎。","Gain 3 Solar Radiance. Absorb up to 2 Burn from yourself and convert it into Gathered Flame.","获得3层日耀。吸收自身至多2层灼烧，转化为等量聚炎。"
"solar_crown","TRUE","能力牌","","太阳圣冕","Solar Crown","太阳圣冕","太阳圣冕","获得2层圣冕显化。圣冕显化期间，日耀层数转换为阶段效果：1-3吸收灼烧额外获得聚炎；4-7日耀伤害额外增幅；8-11行动时获得1魔能并获得1灼烧；12层免疫灼烧。","获得2层圣冕显化。圣冕显化期间，日耀层数转换为阶段效果：1-3吸收灼烧额外获得聚炎；4-7日耀伤害额外增幅；8-11行动时获得1魔能并获得1灼烧；12层免疫灼烧。","Gain 2 Crown Manifestation. During it, Solar Radiance stacks become phases: 1-3 improves absorption, 4-7 boosts solar damage, 8-11 grants 1 mana and 1 Burn on action, 12 grants Burn immunity.","获得2层圣冕显化。圣冕显化期间，日耀层数转换为阶段效果：1-3吸收灼烧额外获得聚炎；4-7日耀伤害额外增幅；8-11行动时获得1魔能并获得1灼烧；12层免疫灼烧。"
"crown_core_flash","TRUE","攻击牌","","冕核爆闪","Crown-Core Flash","冕核爆闪","冕核爆闪","爆发性一击。对所有敌人造成伤害。消耗全部{SunExp_sunexp_gathered_flame}和一半{SunExp_sunexp_solar_radiance}，基础20点；每消耗1层{SunExp_sunexp_gathered_flame}额外造成3点，每消耗1层{SunExp_sunexp_solar_radiance}额外造成5点。随后结束{SunExp_sunexp_solar_crown_state}，并获得等同于消耗{SunExp_sunexp_gathered_flame}一半的{buff_burn}。焚毁。","爆發性一擊。對所有敵人造成傷害。消耗全部{SunExp_sunexp_gathered_flame}和一半{SunExp_sunexp_solar_radiance}，基礎20點；每消耗1層{SunExp_sunexp_gathered_flame}額外造成3點，每消耗1層{SunExp_sunexp_solar_radiance}額外造成5點。隨後結束{SunExp_sunexp_solar_crown_state}，並獲得等同於消耗{SunExp_sunexp_gathered_flame}一半的{buff_burn}。焚毀。","A burst strike against all enemies. Consume all {SunExp_sunexp_gathered_flame} and half of {SunExp_sunexp_solar_radiance}. Deal 20 damage, +3 per flame consumed and +5 per radiance consumed. Then end {SunExp_sunexp_solar_crown_state} and gain {buff_burn} equal to half the flame consumed. Burnout.","すべての敵への爆発的な一撃。すべての{SunExp_sunexp_gathered_flame}と半分の{SunExp_sunexp_solar_radiance}を消費する。20ダメージを与え、消費した炎1につき+3、消費した日耀1につき+5。さらに{SunExp_sunexp_solar_crown_state}を終了し、消費した炎の半分に等しい{buff_burn}を得る。焼却。"
