fileName,size,sha256,mvid,assemblyName,assemblyVersion,typeCount,publicTypeCount,methodCount,publicMemberCount,status
"AllIn1SpriteShaderAssembly.dll",31232,"4FEDDB27262BDD81E82BE946751B3074DB738E680AF0B3B394E69DB8606B810B","52e942fb-f873-4b52-9621-2191b318d0d5","AllIn1SpriteShaderAssembly","0.0.0.0",29,18,128,57,"Present"
"AllScripts.dll",990208,"5BBD477595DE375DF06B222A95672B06C4FF9A8BBDC0BF3D4EFE08457C4D7F0D","c35a6c78-77b7-4f67-a554-5a18c51002a9","AllScripts","0.0.0.0",3675,3189,4466,3189,"Present"
"Assembly-CSharp.dll",10240,"CB2EE75FAE88EB3BD7A6F09F8FA119C71B4343FB10FC897137011CDE7CEE0DDC","c29da15b-6a6e-4e03-a579-3b83f13d1726","Assembly-CSharp","0.0.0.0",12,7,23,14,"Present"
"Autodesk.Fbx.BuildTestAssets.dll",5120,"115F83C149B7465CC449F33A0597EC8F59AD4972F12B0983A7B47DB5C771832E","3b7bb6a3-f999-4670-aa44-d8d55850e8e6","Autodesk.Fbx.BuildTestAssets","0.0.0.0",6,0,4,0,"Present"
"Autodesk.Fbx.dll",4096,"DAD273779ECCADA6CDC0E7FD95E302B1E22C193E56ADDEE8440E8BBAB2D9F823","7e0a7f70-a269-4b44-a6aa-f5c3b70ab922","Autodesk.Fbx","0.0.0.0",2,0,2,0,"Present"
"BindingProxy.dll",4096,"F7E16E20D6F47EF5A3B28C073F76A1ADCBCC38D9F9659F93CF7C608030B33596","84beaa32-6361-4856-807b-cb386405de53","BindingProxy","1.0.0.0",4,4,4,4,"Present"
"Cinemachine.dll",315904,"2F2E628E7DC75871BDE5E3D5D3BAC33148FC811FB787E3C43D242868D5F0F9F1","4b0d3d5c-6ccf-4d20-a275-a44f9d85d2a6","Cinemachine","0.0.0.0",248,158,1423,1459,"Present"
"Coffee.UIParticle.dll",54784,"9A7EFA097DC6781B45336CA6048DB163399EFD029141F04D648C70BB35B47E56","d62e0b54-d1eb-47a9-9e08-dcc45d39fe77","Coffee.UIParticle","0.0.0.0",45,12,284,126,"Present"
"Coffee.UIParticle.R.dll",3584,"A1C8AB664489C1EC8388FDED9F26DA48AB362CA50CC3D50A611D112ABE747BD3","28fba8bf-906c-4058-89ef-22bfbfe5b886","Coffee.UIParticle.R","0.0.0.0",1,0,0,0,"Present"
"com.rlabrecque.steamworks.net.dll",413696,"83A203F3D5890E33F90C0F58FCC71187D8456A02FF44F587FD7A41BD2CD33430","01645d5e-a798-49ca-ad05-6ddef26c0152","com.rlabrecque.steamworks.net","0.0.0.0",506,483,3080,4737,"Present"
