profileId,enemyId,variantId,displayName,tier,baseMagic,baseSpirit,baseLuck,basePerception,growthMagic,growthSpirit,growthLuck,growthPerception,sourceRarity,sourceHp,sourceAttack,sourceArmor,sourceActions,generationMode
base-game.10001,10001,*,普拉提黏黏,Normal,7,5,8,6,18,12,20,14,1,40,7,3,2,rule-v1
base-game.10004,10004,*,灾厄先兆,Normal,9,6,6,6,19,15,13,15,1,50,8,3,2,rule-v1
base-game.10005,10005,*,猎食者,Normal,7,6,6,6,17,14,13,14,1,23,5,0,2,rule-v1
base-game.10008,10008,*,最后一餐,Normal,9,6,5,9,21,13,13,17,1,62,8,6,2,rule-v1
base-game.10016,10016,*,混血狼裔,Normal,7,9,6,7,16,19,14,16,1,130,8,4,2,rule-v1
base-game.10017,10017,*,圣械协从,Normal,8,8,6,7,20,16,15,14,1,95,8,4,2,rule-v1
base-game.10019,10019,*,莉莉,Normal,7,8,6,7,19,16,13,15,1,85,7,4,2,rule-v1
base-game.10021,10021,*,腐化主教,Normal,7,7,7,7,17,16,19,14,1,64,7,4,2,rule-v1
base-game.10023,10023,*,普拉提壮壮,Normal,6,8,5,10,14,17,13,20,1,95,6,7,2,rule-v1
base-game.10025,10025,*,腐化蛛人,Normal,7,6,7,7,20,12,19,14,1,60,7,4,2,rule-v1
base-game.10026,10026,*,恶意聚合体,Normal,6,6,8,6,18,13,21,12,1,58,5,2,2,rule-v1
base-game.10028,10028,*,方片舞者,Normal,9,9,4,9,19,19,8,17,1,130,12,6,1,rule-v1
base-game.10034,10034,*,自动机关人偶,Normal,9,9,6,7,20,17,17,16,1,192,10,5,3,rule-v1
base-game.10038,10038,*,灾厄祭司,Normal,8,7,5,9,19,15,12,18,1,78,8,6,2,rule-v1
base-game.10039,10039,*,黑桃骑士,Normal,10,9,7,4,22,18,18,10,1,144,10,0,3,rule-v1
base-game.10040,10040,*,魔女教教徒,Normal,8,6,7,8,18,15,20,16,1,66,8,5,3,rule-v1
base-game.10041,10041,*,天眷者,Normal,6,5,7,8,16,13,18,16,1,45,5,4,2,rule-v1
base-game.10042,10042,*,吞金兽,Normal,6,7,6,8,13,17,16,17,1,63,6,4,2,rule-v1
base-game.10043,10043,*,活性晶簇,Normal,8,8,6,7,19,16,15,15,1,80,8,4,2,rule-v1
base-game.10054,10054,*,使魔猫猫,Normal,6,6,7,6,16,14,14,14,1,33,4,0,2,rule-v1
base-game.10002,10002,*,红心女仆,Elite,12,9,8,7,25,19,21,16,2,144,12,5,2,rule-v1
base-game.10003,10003,*,鼹鼠,Elite,10,6,11,7,23,14,27,16,2,70,10,5,2,rule-v1
base-game.10009,10009,*,梅花侍从,Elite,10,8,8,11,25,16,18,22,2,139,11,8,3,rule-v1
base-game.10010,10010,*,深渊之触,Elite,8,8,9,8,20,17,21,18,2,76,9,5,2,rule-v1
base-game.10014,10014,*,幽怨之心,Elite,9,7,9,10,23,15,22,20,2,99,10,7,2,rule-v1
base-game.10018,10018,*,惊喜礼物盒,Elite,11,12,6,11,22,24,13,23,2,330,14,24,2,rule-v1
