"profileId","enemyId","intentId","enemyCardId","displayName","type","cost","cooldown","description","defaultEquipped"
"base-game.10001","10001","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10001","10001","spirit.pve.enemycard_neverdead.intent","enemycard_NeverDead","活性化","Support","3","2","为自身施加5层自愈。","True"
"base-game.10001","10001","spirit.pve.enemycard_observe.intent","enemycard_Observe","涣散","Interference","2","1","为目标敌人施加2层衰退。","False"
"base-game.10001","10001","spirit.pve.enemycard_vulnerabilitylight.intent","enemycard_vulnerabilityLight","看破","Interference","2","1","为目标敌人施加3层易伤。","False"
"base-game.10001","10001","spirit.pve.enemycard_weaklight.intent","enemycard_WeakLight","无力化：一阶","Interference","2","1","为目标敌人施加2层无力。","True"
"base-game.10002","10002","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","False"
"base-game.10002","10002","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10002","10002","spirit.pve.enemycard_vulnerabilitylight.intent","enemycard_vulnerabilityLight","看破","Interference","2","1","为目标敌人施加3层易伤。","True"
"base-game.10002","10002","spirit.pve.enemycard_witness.intent","enemycard_Witness","硬质化","Support","2","1","为自身施加2层坚毅。","True"
"base-game.10003","10003","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10003","10003","spirit.pve.enemycard_obtainmoney.intent","enemycard_obtainMoney","探囊取物","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10003","10003","spirit.pve.enemycard_ordinaryfivehit.intent","enemycard_OrdinaryFiveHit","蝶翼复切","Attack","3","2","对目标敌人连续5次，每次造成2+攻击×0.35点伤害。","True"
"base-game.10004","10004","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10004","10004","spirit.pve.enemycard_neverdead.intent","enemycard_NeverDead","活性化","Support","3","2","为自身施加5层自愈。","True"
"base-game.10004","10004","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10005","10005","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10005","10005","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10007","10007","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10007","10007","spirit.pve.enemycard_makeineffectiverays1.intent","enemycard_MakeIneffectiveRays1","结晶化","Defense","2","1","为自身获得4+护甲×0.8点护盾；为自身施加2层坚毅。","False"
"base-game.10007","10007","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10007","10007","spirit.pve.enemycard_quadruplehits.intent","enemycard_QuadrupleHits","破灭","Attack","3","2","对目标敌人连续4次，每次造成2+攻击×0.35点伤害。","True"
"base-game.10008","10008","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10008","10008","spirit.pve.enemycard_licking.intent","enemycard_Licking","溃烂术","Interference","2","1","为目标敌人施加2层腐烂。","True"
"base-game.10008","10008","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","False"
"base-game.10008","10008","spirit.pve.enemycard_quadruplehits.intent","enemycard_QuadrupleHits","破灭","Attack","3","2","对目标敌人连续4次，每次造成2+攻击×0.35点伤害。","True"
"base-game.10009","10009","spirit.pve.enemycard_burn1.intent","enemycard_burn1","蹈火之域：二阶","Interference","2","1","为目标敌人施加3层灼烧。","False"
"base-game.10009","10009","spirit.pve.enemycard_burn2.intent","enemycard_burn2","蹈火之域：三阶","Interference","3","2","为目标敌人施加6层灼烧。","True"
"base-game.10009","10009","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10009","10009","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10009","10009","spirit.pve.enemycard_specialattack.intent","enemycard_specialAttack","神之福音","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害；为自身获得4+护甲×0.8点护盾。","False"
"base-game.10010","10010","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10010","10010","spirit.pve.enemycard_ordinaryfivehit.intent","enemycard_OrdinaryFiveHit","蝶翼复切","Attack","3","2","对目标敌人连续5次，每次造成2+攻击×0.35点伤害。","False"
"base-game.10010","10010","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10010","10010","spirit.pve.enemycard_overrunworkouts.intent","enemycard_OverrunWorkouts","刃契","Support","1","0","为自身施加1层锋锐。","True"
"base-game.10014","10014","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10014","10014","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10014","10014","spirit.pve.enemycard_psychologicalshock.intent","enemycard_psychologicalShock","震颤","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","False"
"base-game.10014","10014","spirit.pve.enemycard_weaklight.intent","enemycard_WeakLight","无力化：一阶","Interference","2","1","为目标敌人施加2层无力。","True"
"base-game.10015","10015","spirit.pve.enemycard_burn.intent","enemycard_burn","蹈火之域：一阶","Interference","2","1","为目标敌人施加4层灼烧。","True"
"base-game.10015","10015","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10015","10015","spirit.pve.enemycard_fallendragon.intent","enemycard_FallenDragon","激怒战吼","Support","3","2","为自身施加20层超凡。","False"
"base-game.10015","10015","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10015","10015","spirit.pve.enemycard_quadruplehits.intent","enemycard_QuadrupleHits","破灭","Attack","3","2","对目标敌人连续4次，每次造成2+攻击×0.35点伤害。","False"
"base-game.10016","10016","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10016","10016","spirit.pve.enemycard_nervereflexes.intent","enemycard_NerveReflexes","狂暴化","Support","1","0","为自身施加1层狂暴。","True"
"base-game.10016","10016","spirit.pve.enemycard_neverdead.intent","enemycard_NeverDead","活性化","Support","3","2","为自身施加5层自愈。","False"
"base-game.10016","10016","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10017","10017","spirit.pve.enemycard_burn.intent","enemycard_burn","蹈火之域：一阶","Interference","2","1","为目标敌人施加4层灼烧。","False"
"base-game.10017","10017","spirit.pve.enemycard_burn1.intent","enemycard_burn1","蹈火之域：二阶","Interference","2","1","为目标敌人施加3层灼烧。","True"
"base-game.10017","10017","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10017","10017","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10018","10018","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
"base-game.10018","10018","spirit.pve.enemycard_ordinaryhit.intent","enemycard_OrdinaryHit","断脊","Attack","2","1","对目标敌人造成2+攻击×0.8点伤害。","True"
"base-game.10018","10018","spirit.pve.enemycard_weak.intent","enemycard_Weak","无力化：二阶","Support","1","0","为自身施加1层无力。","True"
"base-game.10018","10018","spirit.pve.enemycard_witness.intent","enemycard_Witness","硬质化","Support","2","1","为自身施加2层坚毅。","False"
"base-game.10019","10019","spirit.pve.enemycard_charmed.intent","enemycard_charmed","时序魔法：停滞","Interference","1","0","为目标敌人施加1层时停。","True"
"base-game.10019","10019","spirit.pve.enemycard_defence.intent","enemycard_defence","魔力屏障","Defense","2","1","为自身获得4+护甲×0.8点护盾。","True"
