"范围","运行时ID","中文名","类型","稀有度","层数上限","每回合衰减","每次受击衰减","每次行动衰减","CanZero","实际效果","源表"
"常规状态","buff_timelock","时之笼","能力","2","999","0","0","0","否","层数等同于已储存的效果数，回合结束时，结算所有已储存的效果并清空。","buff.csv"
"常规状态","buff_epiphany","启示","正面","3","999","0","0","0","否","每次层数变动时，给予层数({stack})点回合自然恢复魔能。","buff.csv"
"常规状态","buff_cripple","失能","负面","3","100","0","1","0","否","受伤时玩家失去层数1点魔能。","buff.csv"
"常规状态","buff_sourcecast","源蜕","能力","4","3","0","0","0","否","失去魔能两次后抽层数({stack})张牌。","buff.csv"
"常规状态","buff_bloodwall","血墙","正面","3","999","1","1","0","否","每次行动时获得层数({stack})点护盾。","buff.csv"
"常规状态","buff_timestop","时停","契印","4","10","1","0","0","否","轮到单位行动时，消耗1层{buff_timestop}，跳过本回合。","buff.csv"
"常规状态","buff_elements","元素","正面","2","9999","0","0","0","否","行动后获得层数*2({stack*2})层超凡。","buff.csv"
"常规状态","buff_fast","敏锐","正面","3","10","1","0","0","否","每回合开始时额外抽等同于层数({stack})张牌。","buff.csv"
"常规状态","buff_immortal","不朽","能力","4","4","0","0","0","否","受两次伤时获得层数({stack})点魔能。","buff.csv"
"常规状态","buff_frenzy","狂暴","能力","4","999","0","0","0","否","每次行动时获得层数({stack})层{buff_keenedge}，如果血量大于1,受到2点真实伤害。","buff.csv"
"常规状态","buff_unyielding","不屈","能力","4","3","0","0","0","否","每受伤两次抽层数({stack})张牌。","buff.csv"
"常规状态","buff_toxin","毒素","负面","1","999999","1","0","0","否","每回合结束时受到层数({stack})点真实伤害。","buff.csv"
"常规状态","buff_oblivion","遗忘","负面","1","10","1","0","0","否","每抽到3张卡牌时丢弃1张卡牌，回合结束时层数-1。","buff.csv"
"常规状态","buff_bleeding","流血","负面","1","99999","0","0","0","否","行动时受到层数点({0})异常伤害。层数大于30时，伤害翻倍。","buff.csv"
"常规状态","buff_evergreen","自愈","正面","1","9999","1","0","0","否","回合开始时恢复层数({stack})点生命。","buff.csv"
"常规状态","buff_rebirth","重生","正面","3","9999","0","0","0","是","死亡时，若层数不少于30，则复活并恢复层数({stack})%的生命，随后层数减少100。","buff.csv"
"常规状态","buff_rotten","腐朽","负面","4","2","1","0","0","否","行动后失去所有护盾。","buff.csv"
"常规状态","buff_burn","灼烧","负面","2","49","1","0","0","否","回合开始时造成层数*(1+1%当前血量)({0})的异常伤害。","buff.csv"
"常规状态","buff_chaos","混乱","负面","3","1","0","0","0","否","每次行动后,卡牌的费用随机变化为0倍,1倍,2倍，持续至战斗结束","buff.csv"
"常规状态","buff_eclipse","魔化","特性","4","1","10","0","0","否","使用卡牌的消耗魔能减-200%,但回合结束时直接战败。","buff.csv"
"常规状态","buff_vulnerability","易伤","负面","2","999","2","0","0","否","每层受伤加10%({stack*0.1})。","buff.csv"
"常规状态","buff_cycle","循环","正面","4","5","0","0","0","否","抽完1轮牌洗牌后获得层数({stack})点魔能。","buff.csv"
"常规状态","buff_vitality","吸收","正面","2","999","1","0","0","否","受伤时获得层数({stack})点护盾。","buff.csv"
"常规状态","buff_oniblood","鬼化","正面","4","5","0","0","0","否","回合结束时失去16点生命(不会导致死亡),每次行动恢复4倍层数({stack*4})生命。","buff.csv"
"常规状态","buff_contagion","连斩","正面","3","999","0","0","0","否","每抽卡两次时对敌方造成9点({0})物理伤害。","buff.csv"
"常规状态","buff_keenedge","锋锐","正面","2","9999","0","0","0","否","每层使造成的伤害+1({stack})。","buff.csv"
"常规状态","buff_weak","无力","负面","2","9999","1","0","0","否","每层造成的伤害-1({stack})。","buff.csv"
"常规状态","buff_resilient","强韧","正面","2","9999","0","0","0","否","受到的伤害减少层数({stack})点。","buff.csv"
"常规状态","buff_counterattack","反击","能力","2","9999","0","0","0","否","敌人攻击时，造成层数({stack})点伤害。","buff.csv"
"常规状态","buff_impregnable","坚毅","正面","3","8","0","0","0","否","每层坚毅减少10%({stack*0.1})的受伤。","buff.csv"
"常规状态","buff_chrysalis","庇护","正面","4","10","1","0","0","否","每回合最多受到最大生命值一半的伤害。","buff.csv"
"常规状态","buff_barkhide","树肤","正面","4","999","0","0","0","否","每次受伤时获得本回合受伤次数*2({0})的护盾。","buff.csv"
"常规状态","buff_bloodriver","血河","能力","3","3","1","0","0","否","每次行动时，25%概率使自己获得2层流血,75%概率使随机敌人获得4层流血。","buff.csv"
"常规状态","buff_extraordinary","超凡","正面","1","99999","0","0","0","否","每层提供1%({stack*0.01})的基础增伤。","buff.csv"
