"类别","运行时ID","原始ID","原始*标记","中文名","系列","所属卡包ID","所属卡包","稀有度","实际效果"
"标准遗物","relic_1","relic_1","否","风之灵","生物","cardpack_1","基础卡包","3","行动后，获得3点护盾。"
"标准遗物","relic_2","relic_2","否","法师资格证书","契约","cardpack_1","基础卡包","4","每张牌使用后有20%的概率获得1点魔能。"
"标准遗物","relic_3","relic_3","否","影劫草","物品","cardpack_1","基础卡包","1","你每次往抽牌堆洗牌时对随机敌人造成20点真实伤害。"
"标准遗物","relic_4","relic_4","否","白盐","物品","cardpack_1","基础卡包","2","战斗开始时随机赋予敌人4层易伤。"
"标准遗物","relic_5","relic_5","否","死契 帕雷凡","契约","cardpack_8","七重试炼","1","每场战斗开始时恢复15点生命,每场战斗第5回合死亡。"
"标准遗物","relic_6","relic_6","否","红石","物品","cardpack_1","基础卡包","3","你每次出牌时对随机敌人附加一层灼烧效果。"
"标准遗物","relic_7","relic_7","否","普拉提原体","生物","cardpack_1","基础卡包","3","每场战斗开始时,给与所有敌人4层失格。"
"标准遗物","relic_8","relic_8","否","怨恨","概念","cardpack_1","基础卡包","3","敌人行动时，对其造成你已损失生命值20%的真实伤害。"
"标准遗物","relic_9","relic_9","否","血髓鸣泣","物品","cardpack_1","基础卡包","4","魔能上限+1,战斗开始时获得1层狂暴。"
"标准遗物","relic_10","relic_10","否","碎裂源晶","物品","cardpack_1","基础卡包","1","每场战斗开始时,你获得2层元素。"
"标准遗物","relic_11","relic_11","否","鬼骨面具","物品","cardpack_1","基础卡包","2","战斗开始时获得锋锐*2，鬼化。"
"标准遗物","relic_12","relic_12","否","毒苹果","物品","cardpack_1","基础卡包","3","战斗开始时获得鬼化,敏锐*3,受到当前生命值1/6的真实伤害。"
"标准遗物","relic_13","relic_13","否","血鬼保险条例","契约","cardpack_1","基础卡包","1","回合开始时,如果你生命低于50,获得鬼化。"
"标准遗物","relic_14","relic_14","否","穿刺群落","生物","cardpack_1","基础卡包","3","行动时对3个随机敌人额外造成1点物理伤害。"
"标准遗物","relic_15","relic_15","否","恶念","概念","cardpack_1","基础卡包","1","每场战斗生命值第一次下降到40%最大生命值或以下时（战斗开始时也判定一次），获得40金币和1层鬼化."
"标准遗物","relic_16","relic_16","否","雷鸣之羽","物品","cardpack_1","基础卡包","1","行动时有50%几率对随机敌人目标造成8点真实伤害。"
"标准遗物","relic_17","relic_17","否","魔力源晶","物品","cardpack_1","基础卡包","4","回合开始时,你获得4层元素,并获得1点魔能。"
"标准遗物","relic_18","relic_18","否","剑盾","物品","cardpack_1","基础卡包","2","出牌额外造成1点伤害,获得1点护盾。"
"标准遗物","relic_19","relic_19","否","《深渊求生守则》","物品","cardpack_1","基础卡包","2","回合开始时获得1点护盾；你每携带此遗物走过1层,该护盾+1。"
"标准遗物","relic_20","relic_20","否","施虐者权杖","物品","cardpack_1","基础卡包","3","行动时给与随机敌人1层无力。"
"标准遗物","relic_21","relic_21","否","染血硬币","契约","cardpack_1","基础卡包","3","损失生命时,获得8枚金币。"
"标准遗物","relic_22","relic_22","否","断剑","物品","cardpack_1","基础卡包","1","回合开始时，获得4层锋锐，每次行动减少1点锋锐（锋锐为0时改为获得1层无力）。"
"标准遗物","relic_23","relic_*23","是","逆转时针","闭锁时环","cardpack_1","基础卡包","2","死亡时复活,恢复10点生命；每场战斗最多生效1次。"
"标准遗物","relic_24","relic_*24","是","破损表盘","闭锁时环","cardpack_1","基础卡包","4","出牌时获得1点魔能。"
"标准遗物","relic_25","relic_25","否","血嗣契约","契约","cardpack_1","基础卡包","1","战斗开始时最大生命值+1,额外抽2张牌。"
"标准遗物","relic_26","relic_26","否","嬗变因子","物品","cardpack_1","基础卡包","4","战斗开始时,获得1层不朽。"
"标准遗物","relic_27","relic_27","否","虚影","概念","cardpack_1","基础卡包","3","回合开始时,第一张牌额外打出一次。"
"标准遗物","relic_28","relic_28","否","死契 科尼姆斯","契约","cardpack_8","七重试炼","4","回合开始时,额外获得2点魔能并抽2张牌；在第4回合开始时死亡。"
